
@relation all-data-pacman
@attribute pacmanDirec {West, East, North, South, Stop}
@attribute pacmanXpos NUMERIC
@attribute pacmanYpos NUMERIC
@attribute LivingGhost1 {False, True}
@attribute LivingGhost2 {False, True}
@attribute LivingGhost3 {False, True}
@attribute LivingGhost4 {False, True}
@attribute ghost1XPos NUMERIC
@attribute ghost1YPos NUMERIC
@attribute ghost2XPos NUMERIC
@attribute ghost2YPos NUMERIC
@attribute ghost3XPos NUMERIC
@attribute ghost3YPos NUMERIC
@attribute ghost4XPos NUMERIC
@attribute ghost4YPos NUMERIC
@attribute ghost1Dist NUMERIC
@attribute ghost2Dist NUMERIC
@attribute ghost3Dist NUMERIC
@attribute ghost4Dist NUMERIC
@attribute currentScore NUMERIC
@attribute pacmanNextXPosition NUMERIC
@attribute pacmanNextYPosition NUMERIC
@attribute nextScore NUMERIC
@attribute action {West, East, North, South, Stop}
@data
East,14,8,False,False,True,True,1,1,3,1,21,9,25,14,0,0,8,17,371,14,8,370,East
East,15,8,False,False,True,True,1,1,3,1,21,9,25,14,0,0,7,16,370,15,9,369,North
North,15,9,False,False,True,True,1,1,3,1,21,9,25,14,0,0,6,15,369,15,9,468,East
East,16,9,False,False,True,True,1,1,3,1,21,9,25,14,0,0,5,14,368,16,9,367,East
East,17,9,False,False,True,True,1,1,3,1,21,9,25,14,0,0,4,13,367,17,9,366,East
East,18,9,False,False,True,True,1,1,3,1,21,9,25,14,0,0,3,12,366,18,9,365,East
East,19,9,False,False,True,True,1,1,3,1,21,9,25,14,0,0,2,11,365,19,9,364,East
East,20,9,False,False,True,True,1,1,3,1,21,9,25,14,0,0,1,10,364,20,9,563,East
East,21,9,False,False,False,True,1,1,3,1,5,1,25,14,0,0,0,9,563,21,9,562,East
East,22,9,False,False,False,True,1,1,3,1,5,1,25,14,0,0,0,8,562,22,9,561,East
East,23,9,False,False,False,True,1,1,3,1,5,1,25,14,0,0,0,7,561,23,9,560,East
East,24,9,False,False,False,True,1,1,3,1,5,1,25,14,0,0,0,6,560,24,9,559,East
East,25,9,False,False,False,True,1,1,3,1,5,1,25,14,0,0,0,5,559,25,10,558,North
North,25,10,False,False,False,True,1,1,3,1,5,1,25,14,0,0,0,4,558,25,11,557,North
North,25,11,False,False,False,True,1,1,3,1,5,1,25,14,0,0,0,3,557,25,12,556,North
North,25,12,False,False,False,True,1,1,3,1,5,1,25,14,0,0,0,2,556,25,13,555,North
North,25,13,False,False,False,True,1,1,3,1,5,1,25,14,0,0,0,1,555,25,14,754,North
Stop,1,3,True,True,True,True,1,10,2,8,2,9,3,7,7,6,7,6,0,1,3,-1,Stop
Stop,1,3,True,True,True,True,1,10,2,8,2,9,3,7,7,6,7,6,-1,1,3,-2,Stop
Stop,1,3,True,True,True,True,1,10,2,8,2,9,3,7,7,6,7,6,-2,1,4,-3,North
North,1,4,True,True,True,True,1,10,2,8,2,9,3,7,6,5,6,5,-3,1,5,-4,North
North,1,5,True,True,True,True,1,10,2,8,2,9,3,7,5,4,5,4,-4,1,5,-5,East
East,2,5,True,True,True,True,1,10,2,8,2,9,3,7,6,3,4,3,-5,2,5,94,East
East,3,5,True,True,True,True,1,10,2,8,2,9,3,7,7,4,5,2,-6,3,6,-7,North
North,3,6,True,True,True,True,1,10,2,8,2,9,3,7,6,3,4,1,-7,3,7,192,North
North,3,7,True,True,True,False,1,10,2,8,2,9,7,1,5,2,3,0,192,3,7,191,West
West,2,7,True,True,True,False,1,10,2,8,2,9,7,1,4,1,2,0,191,2,8,390,North
North,2,8,True,False,True,False,1,10,3,1,2,9,7,1,3,0,1,0,390,2,9,589,North
North,2,9,True,False,False,False,1,10,3,1,5,1,7,1,2,0,0,0,589,2,10,588,North
North,2,10,True,False,False,False,1,10,3,1,5,1,7,1,1,0,0,0,588,2,10,787,West
Stop,4,12,True,True,True,True,9,3,11,7,19,12,22,9,14,12,15,21,0,4,12,-1,Stop
Stop,4,12,True,True,True,True,9,3,11,7,19,12,22,9,14,12,15,21,-1,4,12,-2,Stop
