@relation all-data-pacman-weka.filters.unsupervised.attribute.Remove-R20-23-weka.filters.supervised.attribute.NominalToBinary-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.attribute.Remove-R5

@attribute pacmanDirec=West numeric
@attribute pacmanDirec=East numeric
@attribute pacmanDirec=North numeric
@attribute pacmanDirec=South numeric
@attribute pacmanXpos numeric
@attribute pacmanYpos numeric
@attribute LivingGhost1=True numeric
@attribute LivingGhost2=True numeric
@attribute LivingGhost3=True numeric
@attribute LivingGhost4=True numeric
@attribute ghost1XPos numeric
@attribute ghost1YPos numeric
@attribute ghost2XPos numeric
@attribute ghost2YPos numeric
@attribute ghost3XPos numeric
@attribute ghost3YPos numeric
@attribute ghost4XPos numeric
@attribute ghost4YPos numeric
@attribute ghost1Dist numeric
@attribute ghost2Dist numeric
@attribute ghost3Dist numeric
@attribute ghost4Dist numeric
@attribute action {West,East,North,South,Stop}

@data
0,1,0,0,0.5,0.2,1,1,0,0,0,0.142857,0.352941,0.5,0.166667,0,0.217391,0,0.424242,0.647059,0,0,West
1,0,0,0,0.458333,0.2,1,1,0,0,0,0.214286,0.294118,0.5,0.166667,0,0.217391,0,0.363636,0.647059,0,0,West
1,0,0,0,0.416667,0.2,1,1,0,0,0.071429,0.214286,0.294118,0.55,0.166667,0,0.217391,0,0.30303,0.647059,0,0,West
1,0,0,0,0.375,0.2,1,1,0,0,0.071429,0.214286,0.235294,0.55,0.166667,0,0.217391,0,0.272727,0.647059,0,0,West
1,0,0,0,0.333333,0.2,1,1,0,0,0,0.214286,0.294118,0.55,0.166667,0,0.217391,0,0.272727,0.529412,0,0,West
1,0,0,0,0.291667,0.2,1,1,0,0,0,0.214286,0.352941,0.55,0.166667,0,0.217391,0,0.242424,0.411765,0,0,West
1,0,0,0,0.25,0.2,1,1,0,0,0,0.285714,0.352941,0.6,0.166667,0,0.217391,0,0.181818,0.529412,0,0,West
1,0,0,0,0.208333,0.2,1,1,0,0,0,0.357143,0.411765,0.6,0.166667,0,0.217391,0,0.181818,0.647059,0,0,West
1,0,0,0,0.166667,0.2,1,1,0,0,0,0.428571,0.411765,0.65,0.166667,0,0.217391,0,0.181818,0.764706,0,0,West
1,0,0,0,0.125,0.2,1,1,0,0,0,0.5,0.411765,0.6,0.166667,0,0.217391,0,0.181818,0.764706,0,0,West
1,0,0,0,0.083333,0.2,1,1,0,0,0,0.5,0.470588,0.6,0.166667,0,0.217391,0,0.151515,0.882353,0,0,West
1,0,0,0,0.041667,0.2,1,1,0,0,0,0.5,0.470588,0.55,0.166667,0,0.217391,0,0.121212,0.882353,0,0,West
0,0,1,0,0.416667,0.5,1,1,1,1,0.214286,0.214286,0.352941,0.4,0.791667,0.533333,1,1,0.424242,0.294118,0.478261,0.485714,West
1,0,0,0,0.375,0.5,1,1,1,1,0.214286,0.142857,0.352941,0.35,0.75,0.533333,1,0.928571,0.424242,0.294118,0.478261,0.514286,West
0,0,0,1,0.333333,0.4,1,1,1,1,0.214286,0.142857,0.352941,0.3,0.708333,0.6,1,0.785714,0.333333,0.176471,0.434783,0.514286,West
0,0,0,1,0.333333,0.25,1,0,1,1,0.071429,0.142857,0.058824,0,0.708333,0.466667,0.956522,0.785714,0.30303,0,0.478261,0.6,West
0,0,0,1,0.291667,0.15,1,0,1,1,0,0.142857,0.058824,0,0.666667,0.533333,0.956522,0.928571,0.242424,0,0.608696,0.771429,West
1,0,0,0,0.25,0.15,1,0,1,1,0,0.142857,0.058824,0,0.708333,0.533333,0.956522,1,0.212121,0,0.695652,0.771429,West
1,0,0,0,0.208333,0.15,1,0,1,1,0.071429,0.142857,0.058824,0,0.708333,0.533333,0.956522,0.928571,0.151515,0,0.73913,0.771429,West
1,0,0,0,0.166667,0.15,1,0,1,1,0.142857,0.142857,0.058824,0,0.708333,0.466667,0.956522,0.857143,0.090909,0,0.73913,0.828571,West
1,0,0,0,0.125,0.15,1,0,1,1,0.142857,0.142857,0.058824,0,0.708333,0.533333,1,0.857143,0.060606,0,0.826087,0.857143,West
0,0,0,1,0.083333,0.1,1,0,1,1,0.071429,0.142857,0.058824,0,0.708333,0.466667,1,0.928571,0.030303,0,0.869565,0.971429,West
1,0,0,0,0.041667,0.1,0,0,1,1,0,0,0.058824,0,0.708333,0.466667,1,1,0,0,0.913043,1,West
0,1,0,0,0.25,0.2,1,1,1,0,0.285714,0.428571,0.117647,0.4,0.041667,0.333333,0.217391,0,0.121212,0.411765,0.26087,0,West
1,0,0,0,0.208333,0.2,1,1,1,0,0.285714,0.357143,0.117647,0.45,0.041667,0.333333,0.217391,0,0.060606,0.411765,0.217391,0,West
0,1,0,0,0.208333,0.3,0,1,1,0,0,0,0.176471,0.4,0.041667,0.266667,0.217391,0,0,0.176471,0.26087,0,West
1,0,0,0,0.166667,0.3,0,1,1,0,0,0,0.176471,0.35,0,0.266667,0.217391,0,0,0.058824,0.26087,0,West
0,0,0,1,0.125,0.25,0,1,1,0,0,0,0.176471,0.35,0,0.4,0.217391,0,0,0.176471,0.173913,0,West
1,0,0,0,0.083333,0.25,0,1,1,0,0,0,0.176471,0.3,0,0.466667,0.217391,0,0,0.176471,0.173913,0,West
1,0,0,0,0.041667,0.25,0,1,1,0,0,0,0.235294,0.3,0,0.533333,0.217391,0,0,0.294118,0.173913,0,West
0,0,0,1,0.166667,0.4,0,1,1,0,0,0,0.117647,0.3,0.083333,0.533333,0.217391,0,0,0.176471,0.086957,0,West
0,0,0,1,0.208333,0.25,0,0,1,0,0,0,0.058824,0,0.041667,0.466667,0.217391,0,0,0,0.26087,0,West
1,0,0,0,0.166667,0.25,0,0,1,0,0,0,0.058824,0,0.083333,0.466667,0.217391,0,0,0,0.173913,0,West
0,0,1,0,0.125,0.35,0,0,1,0,0,0,0.058824,0,0.041667,0.533333,0.217391,0,0,0,0.130435,0,West
0,1,0,0,0.458333,0.15,1,0,1,1,0.714286,0.357143,0.058824,0,0.791667,0.666667,0.869565,0.357143,0.090909,0,0.652174,0.371429,West
0,0,1,0,0.458333,0.2,1,0,1,1,0.785714,0.357143,0.058824,0,0.75,0.666667,0.913043,0.357143,0.030303,0,0.565217,0.314286,West
0,1,0,0,0.625,0.2,1,0,1,1,1,0.357143,0.058824,0,0.75,0.6,0.826087,0.214286,0.060606,0,0.347826,0.2,West
0,0,0,0,0.541667,0,1,1,1,1,0.642857,0.857143,0.647059,0.6,0.583333,0.8,0.652174,0.857143,0.484848,0.764706,0.565217,0.4,West
1,0,0,0,0.5,0,1,1,1,1,0.714286,0.857143,0.705882,0.6,0.625,0.8,0.608696,0.857143,0.424242,0.764706,0.652174,0.428571,West
0,0,1,0,0.458333,0.1,1,1,1,1,0.642857,0.857143,0.647059,0.65,0.625,0.8,0.565217,0.857143,0.363636,0.705882,0.608696,0.4,West
1,0,0,0,0.416667,0.1,1,1,1,1,0.714286,0.857143,0.705882,0.65,0.625,0.8,0.608696,0.857143,0.30303,0.823529,0.652174,0.428571,West
1,0,0,0,0.375,0.1,1,1,1,1,0.785714,0.857143,0.705882,0.7,0.583333,0.8,0.608696,0.857143,0.363636,0.941176,0.652174,0.457143,West
0,0,1,0,0.458333,0.4,1,1,1,1,0.928571,0.857143,0.411765,0.7,0.625,0.8,0.608696,0.857143,0.181818,0.529412,0.347826,0.228571,West
1,0,0,0,0.416667,0.4,1,1,1,1,0.857143,0.857143,0.352941,0.7,0.666667,0.8,0.608696,0.857143,0.181818,0.529412,0.434783,0.228571,West
1,0,0,0,0.375,0.4,1,1,1,1,0.785714,0.857143,0.352941,0.7,0.625,0.8,0.565217,0.857143,0.181818,0.470588,0.434783,0.257143,West
1,0,0,0,0.333333,0.4,1,1,1,1,0.714286,0.857143,0.352941,0.65,0.625,0.8,0.565217,0.857143,0.181818,0.352941,0.478261,0.314286,West
0,0,1,0,0.458333,0.55,1,1,1,1,0.285714,0.357143,0.176471,0.55,0.5,0.333333,0.478261,0.785714,0.393939,0.411765,0.304348,0.028571,East
0,0,1,0,0.166667,0.35,0,1,0,0,0,0,0.176471,0.55,0.166667,0,0.217391,0,0,0.235294,0,0,East
0,0,0,1,0.166667,0.15,0,0,1,1,0,0,0.058824,0,0.833333,0.533333,1,0.928571,0,0,0.913043,0.857143,East
0,1,0,0,0.208333,0.15,0,0,1,1,0,0,0.058824,0,0.833333,0.533333,1,0.928571,0,0,0.869565,0.828571,East
0,1,0,0,0.25,0.15,0,0,1,1,0,0,0.058824,0,0.833333,0.533333,1,0.928571,0,0,0.826087,0.8,East
0,0,1,0,0.291667,0.25,0,0,1,1,0,0,0.058824,0,0.833333,0.533333,1,0.928571,0,0,0.695652,0.714286,East
0,1,0,0,0.333333,0.25,0,0,1,1,0,0,0.058824,0,0.833333,0.533333,1,0.928571,0,0,0.652174,0.685714,East
0,1,0,0,0.375,0.25,0,0,1,1,0,0,0.058824,0,0.833333,0.533333,1,0.928571,0,0,0.608696,0.657143,East
0,1,0,0,0.416667,0.25,0,0,1,1,0,0,0.058824,0,0.833333,0.533333,1,0.928571,0,0,0.565217,0.628571,East
0,0,1,0,0.458333,0.35,0,0,1,1,0,0,0.058824,0,0.833333,0.533333,1,0.928571,0,0,0.434783,0.542857,East
0,1,0,0,0.5,0.35,0,0,1,1,0,0,0.058824,0,0.833333,0.533333,1,0.928571,0,0,0.391304,0.514286,East
0,1,0,0,0.541667,0.35,0,0,1,1,0,0,0.058824,0,0.833333,0.533333,1,0.928571,0,0,0.347826,0.485714,East
0,0,1,0,0.583333,0.4,0,0,1,1,0,0,0.058824,0,0.833333,0.533333,1,0.928571,0,0,0.26087,0.428571,East
0,1,0,0,0.625,0.4,0,0,1,1,0,0,0.058824,0,0.833333,0.533333,1,0.928571,0,0,0.217391,0.4,East
0,1,0,0,0.666667,0.4,0,0,1,1,0,0,0.058824,0,0.833333,0.533333,1,0.928571,0,0,0.173913,0.371429,East
0,1,0,0,0.708333,0.4,0,0,1,1,0,0,0.058824,0,0.833333,0.533333,1,0.928571,0,0,0.130435,0.342857,East
0,1,0,0,0.75,0.4,0,0,1,1,0,0,0.058824,0,0.833333,0.533333,1,0.928571,0,0,0.086957,0.314286,East
