@relation all-data-pacman-weka.filters.unsupervised.attribute.Remove-R21-23

@attribute pacmanDirec {West,East,North,South,Stop}
@attribute pacmanXpos numeric
@attribute pacmanYpos numeric
@attribute LivingGhost1 {False,True}
@attribute LivingGhost2 {False,True}
@attribute LivingGhost3 {False,True}
@attribute LivingGhost4 {False,True}
@attribute ghost1XPos numeric
@attribute ghost1YPos numeric
@attribute ghost2XPos numeric
@attribute ghost2YPos numeric
@attribute ghost3XPos numeric
@attribute ghost3YPos numeric
@attribute ghost4XPos numeric
@attribute ghost4YPos numeric
@attribute ghost1Dist numeric
@attribute ghost2Dist numeric
@attribute ghost3Dist numeric
@attribute ghost4Dist numeric
@attribute currentScore numeric
@attribute action {West,East,North,South,Stop}

@data
South,9,6,False,False,True,True,1,1,3,1,22,6,24,13,0,0,13,21,368,East
East,10,6,False,False,True,True,1,1,3,1,22,5,24,12,0,0,13,21,367,East
East,11,6,False,False,True,True,1,1,3,1,22,6,24,13,0,0,11,19,366,East
East,12,6,False,False,True,True,1,1,3,1,22,7,23,13,0,0,11,17,365,North
North,12,7,False,False,True,True,1,1,3,1,22,7,22,13,0,0,10,17,364,East
East,13,7,False,False,True,True,1,1,3,1,22,8,22,14,0,0,10,15,363,North
North,13,8,False,False,True,True,1,1,3,1,21,8,21,14,0,0,8,13,362,East
East,14,8,False,False,True,True,1,1,3,1,20,8,20,14,0,0,6,11,361,East
East,15,8,False,False,True,True,1,1,3,1,20,8,19,14,0,0,5,10,360,East
East,16,8,False,False,True,True,1,1,3,1,20,8,19,14,0,0,4,8,359,East
East,17,8,False,False,True,True,1,1,3,1,21,8,18,14,0,0,4,6,358,East
East,18,8,False,False,True,True,1,1,3,1,22,8,17,14,0,0,4,8,357,North
North,18,9,False,False,True,True,1,1,3,1,22,9,16,14,0,0,4,7,356,East
East,19,9,False,False,True,True,1,1,3,1,23,9,16,14,0,0,4,7,355,East
East,20,9,False,False,True,True,1,1,3,1,24,9,17,14,0,0,4,7,354,East
East,21,9,False,False,True,True,1,1,3,1,24,9,17,13,0,0,3,7,353,East
East,22,9,False,False,True,True,1,1,3,1,25,9,18,13,0,0,3,8,352,East
East,23,9,False,False,True,True,1,1,3,1,25,9,18,13,0,0,2,9,351,East
East,24,9,False,False,True,True,1,1,3,1,25,8,18,13,0,0,2,11,350,South
South,24,8,False,False,False,True,1,1,3,1,5,1,17,13,0,0,0,12,549,North
West,23,8,False,False,False,True,1,1,3,1,5,1,17,13,0,0,0,12,548,North
North,23,9,False,False,False,True,1,1,3,1,5,1,17,14,0,0,0,11,547,North
North,23,10,False,False,False,True,1,1,3,1,5,1,17,14,0,0,0,10,546,North
North,23,11,False,False,False,True,1,1,3,1,5,1,17,14,0,0,0,10,545,North
North,23,12,False,False,False,True,1,1,3,1,5,1,16,14,0,0,0,8,544,North
North,23,13,False,False,False,True,1,1,3,1,5,1,17,14,0,0,0,6,543,North
North,23,14,False,False,False,True,1,1,3,1,5,1,18,14,0,0,0,6,542,West
West,22,14,False,False,False,True,1,1,3,1,5,1,18,13,0,0,0,4,541,South
South,22,13,False,False,False,True,1,1,3,1,5,1,18,14,0,0,0,6,540,North
West,21,13,False,False,False,True,1,1,3,1,5,1,18,15,0,0,0,4,539,North
North,21,14,False,False,False,True,1,1,3,1,5,1,19,15,0,0,0,2,538,North
North,21,15,False,False,False,True,1,1,3,1,5,1,20,15,0,0,0,2,537,West
West,20,15,False,False,False,True,1,1,3,1,5,1,20,14,0,0,0,1,536,South
North,1,4,True,True,True,True,2,10,2,9,3,9,3,7,7,6,7,6,-1,North
North,1,5,True,True,True,True,2,9,2,9,2,9,3,8,5,5,5,5,-2,North
North,1,6,True,True,True,True,2,10,1,9,2,8,3,8,5,3,3,3,-3,North
North,1,7,True,True,True,True,2,10,2,9,3,8,2,8,4,3,3,2,-4,North
North,1,8,True,True,True,True,2,9,3,9,3,7,2,8,2,3,3,2,-5,North
North,1,9,True,True,True,True,2,10,3,10,4,7,2,7,2,3,5,4,-6,North
North,1,10,True,True,True,True,2,9,3,10,4,7,3,7,2,2,6,6,-7,South
East,2,10,True,True,True,True,2,9,4,10,4,8,3,6,1,2,4,4,-8,South
South,2,9,False,True,True,True,1,1,4,9,4,9,2,6,0,2,2,4,191,East
East,3,9,False,False,False,True,1,1,3,1,5,1,2,5,0,0,0,6,590,South
South,3,8,False,False,False,True,1,1,3,1,5,1,2,4,0,0,0,4,589,South
South,3,7,False,False,False,True,1,1,3,1,5,1,3,4,0,0,0,3,588,South
South,3,6,False,False,False,True,1,1,3,1,5,1,3,4,0,0,0,3,587,South
South,3,5,False,False,False,True,1,1,3,1,5,1,2,4,0,0,0,1,586,South
South,3,4,False,False,False,True,1,1,3,1,5,1,2,5,0,0,0,3,585,North
West,2,4,False,False,False,True,1,1,3,1,5,1,2,6,0,0,0,1,584,North
South,4,11,True,True,True,True,8,3,10,7,19,12,22,9,12,10,16,19,-1,South
South,4,10,True,True,True,True,9,3,10,7,19,11,21,9,12,9,16,18,-2,South
South,4,9,True,True,True,True,9,4,11,7,19,12,21,9,10,9,18,18,-3,South
South,4,8,True,True,True,True,8,4,11,8,19,11,21,10,8,7,18,20,-4,East
East,5,8,True,True,True,True,8,3,11,9,18,11,22,10,8,7,16,18,-5,North
North,5,9,True,True,True,True,9,3,11,8,18,10,22,9,10,7,14,18,-6,South
East,6,9,True,True,True,True,9,3,12,8,18,11,22,8,9,7,14,16,-7,South
South,6,8,True,True,True,True,9,4,13,8,18,11,21,8,7,7,15,15,-8,South
South,6,7,True,True,True,True,8,4,12,8,18,12,21,8,5,7,17,16,-9,South
South,6,6,True,True,True,True,8,3,11,8,18,12,21,8,5,7,18,17,-10,South
South,6,5,True,True,True,True,9,3,10,8,19,12,21,8,5,7,20,19,-11,South
South,6,4,True,True,True,True,8,3,10,9,19,11,22,8,3,9,20,19,-12,South
South,6,3,True,True,True,True,8,3,10,8,19,10,22,7,2,9,20,21,-13,East
East,7,3,True,True,True,True,8,3,10,9,19,9,22,8,1,9,18,19,-14,East
East,8,3,False,True,True,True,1,1,9,9,19,8,22,7,0,7,16,19,185,North
