@relation all-data-pacman-weka.filters.unsupervised.attribute.Remove-R20-23-weka.filters.unsupervised.attribute.Remove-R1

@attribute pacmanXpos numeric
@attribute pacmanYpos numeric
@attribute LivingGhost1 {False,True}
@attribute LivingGhost2 {False,True}
@attribute LivingGhost3 {False,True}
@attribute LivingGhost4 {False,True}
@attribute ghost1XPos numeric
@attribute ghost1YPos numeric
@attribute ghost2XPos numeric
@attribute ghost2YPos numeric
@attribute ghost3XPos numeric
@attribute ghost3YPos numeric
@attribute ghost4XPos numeric
@attribute ghost4YPos numeric
@attribute ghost1Dist numeric
@attribute ghost2Dist numeric
@attribute ghost3Dist numeric
@attribute ghost4Dist numeric
@attribute action {West,East,North,South,Stop}

@data
1,3,True,True,True,True,1,10,2,8,2,9,3,7,7,6,7,6,Stop
1,3,True,True,True,True,1,10,2,8,2,9,3,7,7,6,7,6,North
1,4,True,True,True,True,1,10,2,8,2,9,3,7,6,5,6,5,North
1,5,True,True,True,True,1,10,2,8,2,9,3,7,5,4,5,4,East
2,5,True,True,True,True,1,10,2,8,2,9,3,7,6,3,4,3,East
3,5,True,True,True,True,1,10,2,8,2,9,3,7,7,4,5,2,North
3,6,True,True,True,True,1,10,2,8,2,9,3,7,6,3,4,1,North
3,7,True,True,True,False,1,10,2,8,2,9,7,1,5,2,3,0,West
2,7,True,True,True,False,1,10,2,8,2,9,7,1,4,1,2,0,North
2,8,True,False,True,False,1,10,3,1,2,9,7,1,3,0,1,0,North
2,9,True,False,False,False,1,10,3,1,5,1,7,1,2,0,0,0,North
2,10,True,False,False,False,1,10,3,1,5,1,7,1,1,0,0,0,West
4,12,True,True,True,True,9,3,11,7,19,12,22,9,14,12,15,21,Stop
4,12,True,True,True,True,9,3,11,7,19,12,22,9,14,12,15,21,Stop
4,12,True,True,True,True,9,3,11,7,19,12,22,9,14,12,15,21,South
4,11,True,True,True,True,9,3,11,7,19,12,22,9,13,11,16,20,South
4,10,True,True,True,True,9,3,11,7,19,12,22,9,12,10,17,19,South
4,9,True,True,True,True,9,3,11,7,19,12,22,9,11,9,18,18,South
4,8,True,True,True,True,9,3,11,7,19,12,22,9,10,8,19,19,South
4,7,True,True,True,True,9,3,11,7,19,12,22,9,9,7,20,20,South
4,6,True,True,True,True,9,3,11,7,19,12,22,9,8,8,21,21,South
4,5,True,True,True,True,9,3,11,7,19,12,22,9,7,9,22,22,South
4,4,True,True,True,True,9,3,11,7,19,12,22,9,6,10,23,23,East
5,4,True,True,True,True,9,3,11,7,19,12,22,9,5,9,22,22,East
6,4,True,True,True,True,9,3,11,7,19,12,22,9,4,8,21,21,East
7,4,True,True,True,True,9,3,11,7,19,12,22,9,3,7,20,20,South
7,3,True,True,True,True,9,3,11,7,19,12,22,9,2,8,21,21,East
8,3,True,True,True,True,9,3,11,7,19,12,22,9,1,7,20,20,East
9,3,False,True,True,True,1,1,11,7,19,12,22,9,0,6,19,19,East
10,3,False,True,True,True,1,1,11,7,19,12,22,9,0,5,18,18,East
11,3,False,True,True,True,1,1,11,7,19,12,22,9,0,4,17,17,North
11,4,False,True,True,True,1,1,11,7,19,12,22,9,0,3,16,16,North
11,5,False,True,True,True,1,1,11,7,19,12,22,9,0,2,15,15,North
11,6,False,True,True,True,1,1,11,7,19,12,22,9,0,1,14,14,North
11,7,False,False,True,True,1,1,3,1,19,12,22,9,0,0,13,13,East
12,7,False,False,True,True,1,1,3,1,19,12,22,9,0,0,12,12,East
13,7,False,False,True,True,1,1,3,1,19,12,22,9,0,0,11,11,East
14,7,False,False,True,True,1,1,3,1,19,12,22,9,0,0,10,10,East
15,7,False,False,True,True,1,1,3,1,19,12,22,9,0,0,9,9,East
16,7,False,False,True,True,1,1,3,1,19,12,22,9,0,0,8,8,East
17,7,False,False,True,True,1,1,3,1,19,12,22,9,0,0,7,7,East
18,7,False,False,True,True,1,1,3,1,19,12,22,9,0,0,6,6,East
19,7,False,False,True,True,1,1,3,1,19,12,22,9,0,0,5,5,East
20,7,False,False,True,True,1,1,3,1,19,12,22,9,0,0,6,4,East
21,7,False,False,True,True,1,1,3,1,19,12,22,9,0,0,7,3,East
22,7,False,False,True,True,1,1,3,1,19,12,22,9,0,0,8,2,North
22,8,False,False,True,True,1,1,3,1,19,12,22,9,0,0,7,1,North
22,9,False,False,True,False,1,1,3,1,19,12,7,1,0,0,6,0,North
22,10,False,False,True,False,1,1,3,1,19,12,7,1,0,0,5,0,North
22,11,False,False,True,False,1,1,3,1,19,12,7,1,0,0,4,0,North
22,12,False,False,True,False,1,1,3,1,19,12,7,1,0,0,3,0,West
21,12,False,False,True,False,1,1,3,1,19,12,7,1,0,0,2,0,West
20,12,False,False,True,False,1,1,3,1,19,12,7,1,0,0,1,0,West
14,1,True,True,True,True,10,13,13,13,14,13,17,13,16,13,12,15,Stop
