@relation all-data-pacman-weka.filters.unsupervised.attribute.Remove-R20-23-weka.filters.unsupervised.attribute.Remove-R1

@attribute pacmanXpos numeric
@attribute pacmanYpos numeric
@attribute LivingGhost1 {False,True}
@attribute LivingGhost2 {False,True}
@attribute LivingGhost3 {False,True}
@attribute LivingGhost4 {False,True}
@attribute ghost1XPos numeric
@attribute ghost1YPos numeric
@attribute ghost2XPos numeric
@attribute ghost2YPos numeric
@attribute ghost3XPos numeric
@attribute ghost3YPos numeric
@attribute ghost4XPos numeric
@attribute ghost4YPos numeric
@attribute ghost1Dist numeric
@attribute ghost2Dist numeric
@attribute ghost3Dist numeric
@attribute ghost4Dist numeric
@attribute action {West,East,North,South,Stop}

@data
21,11,False,False,False,True,1,1,3,1,5,1,21,10,0,0,0,2,South
14,1,True,True,True,True,10,13,13,13,14,13,17,13,16,13,12,15,Stop
14,1,True,True,True,True,11,13,13,14,15,13,17,13,15,14,13,15,West
13,1,True,True,True,True,10,13,13,13,15,13,17,13,15,12,14,15,West
12,1,True,True,True,True,10,13,12,13,15,13,16,13,14,12,15,17,North
12,2,True,True,True,True,11,13,13,13,15,13,17,13,12,12,14,16,North
12,3,True,True,True,True,11,13,13,14,14,13,17,13,11,12,12,15,West
11,3,True,True,True,True,10,13,13,15,14,14,17,13,11,14,14,16,West
10,3,True,True,True,True,11,13,14,15,14,15,17,13,11,16,16,16,West
9,3,True,True,True,True,11,13,14,15,15,15,16,13,12,17,18,17,North
9,4,True,True,True,True,11,13,13,15,15,15,16,13,11,15,17,17,North
9,5,True,True,True,True,10,13,14,15,14,15,17,13,9,15,15,16,North
9,6,True,True,True,True,10,13,15,15,15,15,17,13,8,15,15,15,East
10,6,True,True,True,True,10,13,15,16,15,16,17,13,7,15,15,14,East
11,6,True,True,True,True,10,13,15,15,15,15,17,13,8,13,13,12,East
12,6,True,True,True,True,10,13,15,15,16,15,16,13,9,12,13,11,North
12,7,True,True,True,True,10,13,16,15,17,15,16,13,8,12,13,11,North
12,8,True,True,True,True,10,13,17,15,18,15,17,13,7,12,13,10,North
12,9,True,True,True,True,10,13,18,15,17,15,17,13,6,12,11,9,West
11,9,True,True,True,True,10,13,19,15,17,15,17,13,5,14,12,10,West
10,9,True,True,True,True,10,13,18,15,17,15,17,13,4,14,13,10,West
9,9,True,True,True,True,10,13,18,15,18,15,16,13,5,15,15,10,West
8,9,True,True,True,True,11,13,17,15,17,15,15,13,7,15,15,10,North
8,10,True,True,True,True,11,13,16,15,16,15,14,13,6,13,13,10,North
8,11,True,True,True,True,10,13,15,15,16,15,15,13,4,11,12,10,North
8,12,True,True,True,True,11,13,15,16,15,15,16,13,4,11,10,8,North
8,13,True,True,True,True,11,13,15,17,15,15,15,13,3,11,9,8,North
8,14,True,True,True,True,12,13,15,18,15,15,16,13,5,11,8,8,North
8,15,True,True,True,True,13,13,16,18,14,15,15,13,7,11,6,8,East
9,15,True,True,True,True,13,14,17,18,14,15,14,13,5,11,5,8,East
10,15,True,True,True,True,13,14,17,18,13,15,15,13,4,10,3,6,East
11,15,True,True,True,True,13,15,18,18,14,15,14,13,2,10,3,4,East
12,15,True,True,True,True,13,15,18,18,14,15,14,14,1,9,2,3,East
13,15,False,True,False,True,1,2,17,18,5,1,14,14,25,7,0,1,South
13,14,False,True,False,False,1,3,18,18,6,1,7,1,23,9,0,0,North
13,15,False,True,False,False,2,3,17,18,6,1,7,1,23,7,0,0,East
14,15,False,True,False,False,1,3,16,18,6,1,6,1,25,5,0,0,East
15,15,False,True,False,False,1,2,17,18,6,1,6,1,27,5,0,0,North
15,16,False,True,False,False,1,1,16,18,6,1,7,1,0,3,0,0,North
15,17,False,True,False,False,2,1,17,18,6,1,6,1,0,3,0,0,North
15,18,False,True,False,False,1,1,18,18,5,1,7,1,0,3,0,0,East
16,18,False,True,False,False,1,2,18,19,6,1,8,1,31,3,0,0,East
17,18,False,True,False,False,1,1,18,20,5,1,9,1,0,3,0,0,East
18,18,False,True,False,False,1,2,18,21,5,1,9,1,33,3,0,0,North
18,19,False,True,False,False,1,3,17,21,6,1,10,1,33,3,0,0,North
18,20,False,True,False,False,2,3,17,21,5,1,11,1,33,2,0,0,North
18,21,False,True,False,False,3,3,16,21,4,1,11,1,33,2,0,0,West
17,21,False,True,False,False,4,3,16,21,4,1,10,1,31,1,0,0,West
12,10,True,True,True,True,5,6,5,12,13,6,13,12,11,9,5,3,Stop
12,10,True,True,True,True,5,5,5,11,13,7,13,12,12,8,4,4,North
12,11,True,True,True,True,4,5,5,11,13,8,13,13,14,7,4,4,North
12,12,True,True,True,True,3,5,5,12,14,8,14,13,16,7,6,3,North
12,13,True,True,True,True,3,4,5,11,14,9,14,13,18,9,6,3,East
13,13,True,True,True,True,3,4,6,11,14,8,14,12,19,9,6,1,East
14,13,True,True,True,True,2,4,6,11,15,8,13,12,21,10,6,1,South
14,12,True,True,True,False,1,4,6,10,14,8,7,1,21,10,4,0,South
14,11,True,True,True,False,1,3,6,9,13,8,7,1,21,10,4,0,South
14,10,True,True,True,False,1,4,6,9,12,8,7,1,19,9,4,0,South
14,9,True,True,True,False,1,3,7,9,12,7,7,1,19,7,4,0,South
14,8,True,True,True,False,1,4,7,10,12,6,7,1,17,9,4,0,West
13,8,True,True,True,False,1,3,7,10,12,6,7,1,17,8,3,0,South
13,7,True,True,True,False,2,3,6,10,12,5,7,1,15,10,3,0,South
13,6,True,True,True,False,3,3,7,10,13,5,7,1,13,10,1,0,West
12,6,True,True,True,False,2,3,8,10,12,5,7,1,13,8,1,0,South
12,5,True,True,False,False,1,3,8,10,5,1,7,1,13,9,0,0,East
13,5,True,True,False,False,1,3,8,11,5,1,7,1,14,11,0,0,West
12,5,True,True,False,False,1,4,7,11,5,1,7,1,12,11,0,0,West
11,5,True,True,False,False,2,4,7,12,5,1,7,1,10,11,0,0,West
10,5,True,True,False,False,2,4,6,12,5,1,7,1,9,11,0,0,West
9,5,True,True,False,False,1,4,7,12,5,1,7,1,9,9,0,0,West
8,5,True,True,False,False,1,4,8,12,5,1,7,1,8,7,0,0,West
7,5,True,True,False,False,1,5,8,13,5,1,7,1,6,9,0,0,West
6,5,True,True,False,False,1,6,9,13,5,1,7,1,6,11,0,0,West
5,5,True,True,False,False,1,7,9,14,5,1,7,1,6,13,0,0,West
4,5,True,True,False,False,1,8,9,13,5,1,7,1,6,13,0,0,West
3,5,True,True,False,False,1,8,10,13,5,1,7,1,5,15,0,0,West
2,5,True,True,False,False,1,8,10,12,5,1,7,1,4,15,0,0,West
1,5,True,True,False,False,1,8,10,12,5,1,7,1,3,16,0,0,North
1,6,True,True,False,False,1,9,10,13,5,1,7,1,3,16,0,0,North
1,7,True,True,False,False,1,8,9,13,5,1,7,1,1,14,0,0,North
1,8,False,True,False,False,1,1,9,13,5,1,7,1,0,13,0,0,East
2,8,False,True,False,False,1,1,8,13,5,1,7,1,0,11,0,0,East
3,8,False,True,False,False,1,1,8,14,5,1,7,1,0,11,0,0,East
4,8,False,True,False,False,1,1,8,13,5,1,7,1,0,9,0,0,East
5,8,False,True,False,False,1,1,7,13,5,1,7,1,0,7,0,0,East
6,8,False,True,False,False,1,1,7,12,5,1,7,1,0,5,0,0,North
6,9,False,True,False,False,1,1,7,13,5,1,7,1,0,5,0,0,North
6,10,False,True,False,False,1,1,8,13,5,1,7,1,0,5,0,0,North
6,11,False,True,False,False,1,1,8,13,5,1,7,1,0,4,0,0,North
6,12,False,True,False,False,1,1,8,12,5,1,7,1,0,2,0,0,East
6,13,False,True,False,False,1,1,7,12,5,1,7,1,0,2,0,0,East
7,13,False,True,False,False,1,1,7,12,5,1,7,1,0,1,0,0,South
11,10,True,True,True,True,5,5,7,10,21,9,25,14,11,4,11,18,Stop
11,10,True,True,True,True,4,5,7,9,21,9,25,14,12,5,11,19,North
11,11,True,True,True,True,4,4,8,9,20,9,25,15,14,5,11,17,West
10,11,True,True,True,True,4,3,8,8,19,9,25,14,14,5,11,18,West
9,11,True,True,True,True,4,3,8,7,18,9,25,14,13,5,11,18,South
9,10,True,True,True,True,3,3,8,8,18,10,25,13,13,3,9,18,South
9,9,True,True,True,True,4,3,8,7,18,10,25,12,11,3,10,18,West
9,8,True,True,True,True,3,3,9,7,18,9,24,12,11,1,10,20,South
9,7,True,False,True,True,2,3,3,1,18,8,24,13,11,0,10,20,South
9,6,True,False,True,True,2,3,3,1,18,8,24,12,10,0,11,21,West
8,6,True,False,True,True,1,3,3,1,18,9,24,12,10,0,13,23,South
8,5,True,False,True,True,1,3,3,1,17,9,24,13,9,0,13,25,South
8,4,True,False,True,True,1,3,3,1,17,9,24,14,8,0,14,27,West
7,4,True,False,True,True,1,3,3,1,18,9,24,15,7,0,16,27,West
6,4,True,False,True,True,2,3,3,1,18,9,24,14,5,0,17,27,West
5,4,True,False,True,True,3,3,3,1,18,8,24,13,3,0,17,29,West
4,4,True,False,True,True,3,3,3,1,18,9,25,13,2,0,19,30,West
3,4,True,False,True,True,2,3,3,1,18,9,25,13,2,0,20,32,East
3,3,True,False,True,True,2,3,3,1,18,8,25,14,1,0,20,34,West
2,3,False,False,True,True,1,1,3,1,18,8,25,15,0,0,21,35,West
1,3,False,False,True,True,1,1,3,1,17,8,25,15,0,0,21,35,East
1,4,False,False,True,True,1,1,3,1,16,8,24,15,0,0,19,34,East
2,4,False,False,True,True,1,1,3,1,16,8,24,15,0,0,18,32,East
3,4,False,False,True,True,1,1,3,1,15,8,23,15,0,0,16,31,East
4,4,False,False,True,True,1,1,3,1,15,7,23,15,0,0,14,30,East
5,4,False,False,True,True,1,1,3,1,15,8,23,15,0,0,14,30,East
6,4,False,False,True,True,1,1,3,1,16,8,24,15,0,0,14,28,East
7,4,False,False,True,True,1,1,3,1,16,7,24,14,0,0,12,26,East
8,4,False,False,True,True,1,1,3,1,15,7,23,14,0,0,10,24,North
8,5,False,False,True,True,1,1,3,1,16,7,23,13,0,0,10,24,North
8,6,False,False,True,True,1,1,3,1,15,7,23,14,0,0,8,23,North
8,7,False,False,True,True,1,1,3,1,16,7,23,14,0,0,8,23,East
9,7,False,False,True,True,1,1,3,1,16,7,24,14,0,0,7,22,East
10,7,False,False,True,True,1,1,3,1,15,7,24,14,0,0,5,20,East
11,7,False,False,True,True,1,1,3,1,16,7,24,13,0,0,5,19,East
12,7,False,False,True,True,1,1,3,1,15,7,24,13,0,0,3,18,East
13,7,False,False,True,True,1,1,3,1,14,7,24,13,0,0,1,16,East
14,7,False,False,False,True,1,1,3,1,5,1,24,12,0,0,0,14,East
15,7,False,False,False,True,1,1,3,1,5,1,23,12,0,0,0,12,East
16,7,False,False,False,True,1,1,3,1,5,1,23,11,0,0,0,11,North
16,8,False,False,False,True,1,1,3,1,5,1,23,11,0,0,0,10,North
16,9,False,False,False,True,1,1,3,1,5,1,23,11,0,0,0,9,East
17,9,False,False,False,True,1,1,3,1,5,1,23,11,0,0,0,9,East
18,9,False,False,False,True,1,1,3,1,5,1,24,11,0,0,0,8,East
19,9,False,False,False,True,1,1,3,1,5,1,24,11,0,0,0,7,East
20,9,False,False,False,True,1,1,3,1,5,1,24,11,0,0,0,5,East
21,9,False,False,False,True,1,1,3,1,5,1,23,11,0,0,0,3,East
22,9,False,False,False,True,1,1,3,1,5,1,23,10,0,0,0,2,East
23,9,False,False,False,True,1,1,3,1,5,1,23,10,0,0,0,2,North
1,3,True,True,True,True,1,10,2,8,2,9,3,7,7,6,7,6,Stop
1,3,True,True,True,True,1,9,2,8,2,9,3,7,6,6,7,7,North
1,4,True,True,True,True,1,8,3,8,2,8,4,7,4,6,5,7,North
1,5,True,True,True,True,1,7,3,8,2,8,5,7,2,5,4,7,East
2,5,True,True,True,True,1,8,2,8,2,8,6,7,4,3,3,5,East
3,5,True,True,True,True,1,7,2,8,1,8,6,6,4,4,5,3,North
3,6,True,True,True,True,2,7,2,9,2,8,6,5,2,4,3,3,East
4,6,True,True,True,True,2,8,2,8,2,7,6,6,4,4,3,3,East
5,6,True,True,True,True,3,8,2,9,2,6,6,5,4,6,3,3,East
6,6,True,True,True,True,3,7,2,9,1,6,7,5,4,7,5,1,South
6,5,True,True,True,False,4,7,3,9,1,6,7,1,4,7,6,0,East
7,5,True,True,True,False,5,7,4,9,2,6,7,1,4,7,6,0,West
6,5,True,True,True,False,5,6,4,10,2,6,7,1,2,7,5,0,West
5,5,True,True,True,False,6,6,4,10,1,6,7,1,2,6,5,0,North
5,6,True,True,True,False,6,7,4,10,1,6,7,1,2,5,4,0,North
5,7,True,True,True,False,6,7,5,10,2,6,7,1,1,3,4,0,East
6,7,False,True,True,False,1,1,5,9,2,5,7,1,0,3,6,0,West
5,7,False,True,True,False,1,1,5,8,1,5,7,1,0,1,6,0,West
4,7,False,True,True,False,1,1,5,9,1,6,7,1,0,3,4,0,South
4,6,False,True,True,False,1,1,5,8,1,7,7,1,0,3,4,0,West
3,6,False,True,True,False,1,1,5,7,1,8,7,1,0,3,4,0,West
2,6,False,True,True,False,1,1,6,7,1,9,7,1,0,5,4,0,West
1,6,False,True,True,False,1,1,6,6,2,9,7,1,0,5,4,0,North
1,7,False,True,True,False,1,1,5,6,3,9,7,1,0,5,4,0,North
1,8,False,True,True,False,1,1,5,6,4,9,7,1,0,6,4,0,East
1,9,False,True,True,False,1,1,5,6,4,10,7,1,0,7,4,0,East
2,9,False,True,True,False,1,1,5,7,5,10,7,1,0,5,4,0,East
3,9,False,True,True,False,1,1,5,7,4,10,7,1,0,4,2,0,East
4,9,False,True,True,False,1,1,4,7,5,10,7,1,0,2,2,0,East
5,9,False,True,True,False,1,1,4,7,4,10,7,1,0,3,2,0,North
5,10,False,True,True,False,1,1,4,6,4,9,7,1,0,5,2,0,South
5,9,False,True,True,False,1,1,4,7,3,9,7,1,0,3,2,0,West
4,9,False,True,True,False,1,1,5,7,2,9,7,1,0,3,2,0,South
4,8,False,True,True,False,1,1,6,7,2,9,7,1,0,3,3,0,East
5,8,False,True,True,False,1,1,6,6,2,9,7,1,0,3,4,0,East
6,8,False,True,True,False,1,1,6,6,2,10,7,1,0,2,6,0,South
6,7,False,True,True,False,1,1,6,6,2,9,7,1,0,1,6,0,South
6,6,False,False,True,False,1,1,3,1,2,8,7,1,0,0,6,0,West
5,6,False,False,True,False,1,1,3,1,3,8,7,1,0,0,4,0,West
4,6,False,False,True,False,1,1,3,1,3,8,7,1,0,0,3,0,North
4,7,False,False,True,False,1,1,3,1,3,9,7,1,0,0,3,0,North
4,8,False,False,True,False,1,1,3,1,2,9,7,1,0,0,3,0,West
3,8,False,False,True,False,1,1,3,1,3,9,7,1,0,0,1,0,North
4,12,True,True,True,True,9,3,11,7,19,12,22,9,14,12,15,21,Stop
4,12,True,True,True,True,9,3,12,7,18,12,22,9,14,13,14,20,East
5,12,True,True,True,True,10,3,12,8,18,12,21,9,14,11,13,20,East
6,12,True,True,True,True,10,3,12,9,18,11,21,8,13,9,13,20,East
7,12,True,True,True,True,10,4,12,8,19,11,22,8,11,9,13,20,East
8,12,True,True,True,True,10,4,12,7,19,12,22,7,10,9,11,19,East
9,12,True,True,True,True,10,3,13,7,19,11,22,7,10,9,11,18,South
9,11,True,True,True,True,11,3,13,6,19,11,22,7,10,9,10,17,South
9,10,True,True,True,True,10,3,13,5,19,10,22,7,8,9,10,17,South
9,9,True,True,True,True,10,3,13,5,19,9,22,6,7,8,10,15,South
9,8,True,True,True,True,11,3,13,6,20,9,21,6,7,6,12,13,South
9,7,True,True,True,True,12,3,14,6,20,10,21,7,7,6,14,13,South
9,6,True,True,True,True,12,4,14,5,20,11,22,7,5,6,16,15,South
9,5,True,True,True,True,12,5,13,5,20,10,23,7,3,4,16,15,East
10,5,True,True,True,True,12,4,13,6,19,10,23,6,3,4,14,13,East
11,5,True,True,True,True,12,5,13,5,19,10,22,6,1,2,13,12,South
11,4,True,True,True,True,11,5,12,5,19,11,22,6,1,2,15,13,East
12,4,True,False,True,True,11,6,3,1,20,11,22,6,3,0,15,13,West
12,5,True,False,True,True,12,6,3,1,19,11,23,6,1,0,13,11,West
11,5,True,False,True,True,12,6,3,1,20,11,23,5,2,0,15,12,East
11,6,True,False,True,True,13,6,3,1,19,11,23,5,2,0,13,12,East
12,6,True,False,True,True,14,6,3,1,20,11,22,5,2,0,13,11,East
13,6,True,False,True,True,14,5,3,1,20,11,22,5,2,0,12,11,East
14,6,True,False,True,True,15,5,3,1,20,10,22,4,2,0,10,10,South
14,5,True,False,True,True,15,6,3,1,19,10,22,4,2,0,10,8,East
15,5,True,False,True,True,14,6,3,1,18,10,21,4,2,0,8,7,East
16,5,True,False,True,True,15,6,3,1,19,10,21,4,2,0,8,7,West
16,6,False,False,True,True,1,1,3,1,18,10,22,4,0,0,6,9,North
16,7,False,False,True,True,1,1,3,1,18,10,23,4,0,0,5,10,North
16,8,False,False,True,True,1,1,3,1,18,9,23,4,0,0,3,12,North
16,9,False,False,True,True,1,1,3,1,18,9,23,3,0,0,2,12,East
16,10,False,False,True,True,1,1,3,1,17,9,22,3,0,0,2,13,East
17,10,False,False,True,True,1,1,3,1,17,9,22,3,0,0,1,11,South
17,9,False,False,False,True,1,1,3,1,5,1,22,4,0,0,0,11,South
17,8,False,False,False,True,1,1,3,1,5,1,22,3,0,0,0,9,East
18,8,False,False,False,True,1,1,3,1,5,1,22,4,0,0,0,8,East
19,8,False,False,False,True,1,1,3,1,5,1,22,4,0,0,0,6,East
20,8,False,False,False,True,1,1,3,1,5,1,22,5,0,0,0,4,South
20,7,False,False,False,True,1,1,3,1,5,1,21,5,0,0,0,4,South
20,6,False,False,False,True,1,1,3,1,5,1,22,5,0,0,0,4,South
20,5,False,False,False,True,1,1,3,1,5,1,22,4,0,0,0,3,East
20,4,False,False,False,True,1,1,3,1,5,1,22,4,0,0,0,1,East
14,1,True,True,True,True,10,13,13,13,14,13,17,13,16,13,12,15,Stop
14,1,True,True,True,True,10,13,13,13,15,13,17,13,16,13,13,14,West
13,1,True,True,True,True,11,13,14,13,16,13,16,13,14,13,15,15,West
12,1,True,True,True,True,11,13,14,14,15,13,16,13,13,15,15,15,North
12,2,True,True,True,True,10,13,13,14,15,13,15,13,13,13,14,14,North
12,3,True,True,True,True,10,13,13,14,16,13,15,13,12,12,14,14,West
11,3,True,True,True,True,11,13,14,14,16,13,16,13,10,14,15,15,West
10,3,True,True,True,True,12,13,14,15,15,13,16,13,12,16,15,16,West
9,3,True,True,True,True,13,13,13,15,14,13,16,13,14,16,15,18,North
9,4,True,True,True,True,13,13,12,15,14,14,17,13,13,14,15,16,North
9,5,True,True,True,True,12,13,12,16,13,14,16,13,11,14,13,16,North
9,6,True,True,True,True,13,13,12,16,13,14,17,13,11,13,12,14,East
10,6,True,True,True,True,13,13,12,16,14,14,16,13,10,12,12,12,East
11,6,True,True,True,True,13,13,12,16,14,13,15,13,9,11,10,11,East
12,6,True,True,True,True,12,13,12,15,13,13,15,13,7,9,8,11,North
12,7,True,True,True,True,13,13,11,15,14,13,16,13,7,9,8,11,North
12,8,True,True,True,True,13,13,10,15,15,13,17,13,6,9,8,9,North
12,9,True,True,True,True,14,13,9,15,16,13,16,13,6,9,8,8,West
11,9,True,True,True,True,13,13,8,15,17,13,16,13,6,9,10,8,West
10,9,True,True,True,True,12,13,8,15,16,13,15,13,6,8,10,9,West
9,9,True,True,True,True,11,13,8,14,16,13,15,13,6,6,11,11,West
8,9,True,True,True,True,10,13,8,14,16,13,16,13,6,5,12,12,North
8,10,True,True,True,True,11,13,8,15,16,13,16,13,6,5,11,11,North
8,11,True,True,True,True,10,13,8,14,15,13,16,13,4,3,9,11,North
8,12,True,True,True,True,10,13,8,15,16,13,17,13,3,3,9,10,North
8,13,True,True,True,True,11,13,8,14,16,13,17,13,3,1,8,8,North
8,14,True,False,True,True,11,13,2,1,15,13,16,13,4,0,8,9,North
8,15,True,False,True,True,12,13,3,1,16,13,16,13,6,0,10,11,East
9,15,True,False,True,True,13,13,3,1,16,13,17,13,6,0,9,9,East
10,15,True,False,True,True,12,13,4,1,17,13,16,13,4,0,9,9,East
11,15,True,False,True,True,12,13,5,1,17,13,17,13,3,0,8,8,East
12,15,True,False,True,True,12,13,6,1,17,13,17,13,2,0,7,6,East
13,15,True,False,True,True,13,13,5,1,17,13,16,13,2,0,6,5,South
13,14,False,False,True,True,1,1,6,1,17,13,16,13,0,0,5,5,East
14,14,False,False,True,True,2,1,7,1,17,13,17,13,0,0,4,4,South
14,13,False,False,True,True,2,1,7,1,17,13,17,13,0,0,3,3,East
15,13,False,False,True,True,2,1,8,1,17,13,17,13,0,0,2,2,East
16,13,False,False,True,True,1,1,9,1,17,13,17,13,0,0,1,1,East
