@relation all-data-pacman-weka.filters.unsupervised.attribute.Remove-R20-23-weka.filters.unsupervised.attribute.Remove-R4-7-weka.filters.unsupervised.attribute.Remove-R2-3

@attribute pacmanDirec {West,East,North,South,Stop}
@attribute ghost1XPos numeric
@attribute ghost1YPos numeric
@attribute ghost2XPos numeric
@attribute ghost2YPos numeric
@attribute ghost3XPos numeric
@attribute ghost3YPos numeric
@attribute ghost4XPos numeric
@attribute ghost4YPos numeric
@attribute ghost1Dist numeric
@attribute ghost2Dist numeric
@attribute ghost3Dist numeric
@attribute ghost4Dist numeric
@attribute action {West,East,North,South,Stop}

@data
North,1,1,3,1,16,7,23,13,0,0,10,24,North
North,1,1,3,1,15,7,23,14,0,0,8,23,North
North,1,1,3,1,5,1,23,11,0,0,0,10,North
North,1,8,3,8,2,8,4,7,4,6,5,7,North
North,6,7,4,10,1,6,7,1,2,5,4,0,North
North,1,1,5,6,3,9,7,1,0,5,4,0,North
North,1,1,3,1,3,9,7,1,0,0,3,0,North
North,1,1,3,1,18,10,22,4,0,0,6,9,North
North,1,1,3,1,18,10,23,4,0,0,5,10,North
North,1,1,3,1,18,9,23,4,0,0,3,12,North
North,10,13,13,14,15,13,15,13,13,13,14,14,North
North,13,13,12,15,14,14,17,13,13,14,15,16,North
North,12,13,12,16,13,14,16,13,11,14,13,16,North
North,13,13,11,15,14,13,16,13,7,9,8,11,North
North,13,13,10,15,15,13,17,13,6,9,8,9,North
North,11,13,8,15,16,13,16,13,6,5,11,11,North
North,10,13,8,14,15,13,16,13,4,3,9,11,North
North,10,13,8,15,16,13,17,13,3,3,9,10,North
North,11,13,8,14,16,13,17,13,3,1,8,8,North
North,11,13,2,1,15,13,16,13,4,0,8,9,North
South,1,1,3,1,5,1,22,10,0,0,0,5,North
South,1,3,18,18,6,1,7,1,23,9,0,0,North
West,5,5,7,10,21,9,25,14,8,1,16,21,South
West,5,5,3,1,21,9,25,14,3,0,17,26,South
West,1,1,3,1,21,9,25,14,0,0,20,29,South
West,2,9,7,11,10,5,7,1,10,7,4,0,South
West,1,1,8,7,5,1,7,1,0,9,0,0,South
West,6,7,5,9,23,10,24,13,3,2,17,22,South
West,5,9,3,1,5,1,7,1,4,0,0,0,South
West,1,1,3,1,22,8,21,11,0,0,3,2,South
West,1,1,3,1,5,1,21,10,0,0,0,2,South
West,1,3,7,10,12,6,7,1,17,8,3,0,South
West,2,3,8,10,12,5,7,1,13,8,1,0,South
West,4,3,8,7,18,9,25,14,13,5,11,18,South
West,1,3,3,1,18,9,24,12,10,0,13,23,South
West,1,1,5,9,1,6,7,1,0,3,4,0,South
West,1,1,5,7,2,9,7,1,0,3,2,0,South
East,5,6,5,12,13,6,7,1,14,8,6,0,South
East,9,3,11,7,19,12,22,9,3,7,20,20,South
East,10,13,13,13,14,13,17,13,5,2,3,6,South
East,4,8,6,11,12,7,13,11,13,8,6,1,South
East,1,1,5,7,5,1,7,1,0,1,0,0,South
East,1,1,3,1,24,13,25,14,0,0,1,0,South
East,9,5,9,11,20,12,21,9,7,1,13,14,South
East,10,6,3,1,19,12,21,9,5,0,10,13,South
East,1,1,3,1,22,6,22,10,0,0,3,2,South
East,1,1,3,1,5,1,22,10,0,0,0,4,South
East,1,2,17,18,5,1,14,14,25,7,0,1,South
East,2,4,6,11,15,8,13,12,21,10,6,1,South
East,1,1,7,12,5,1,7,1,0,1,0,0,South
East,3,7,2,9,1,6,7,5,4,7,5,1,South
East,1,1,6,6,2,10,7,1,0,2,6,0,South
East,10,3,13,7,19,11,22,7,10,9,11,18,South
East,12,5,13,5,19,10,22,6,1,2,13,12,South
East,15,5,3,1,20,10,22,4,2,0,10,10,South
East,1,1,3,1,17,9,22,3,0,0,1,11,South
East,1,1,3,1,5,1,22,5,0,0,0,4,South
East,13,13,5,1,17,13,16,13,2,0,6,5,South
East,2,1,7,1,17,13,17,13,0,0,4,4,South
North,1,1,4,6,4,9,7,1,0,5,2,0,South
South,5,6,5,12,13,6,7,1,13,9,5,0,South
South,5,6,5,12,13,6,7,1,12,10,4,0,South
South,5,6,5,12,13,6,7,1,11,11,3,0,South
South,5,6,5,12,13,6,7,1,10,12,2,0,South
South,5,6,5,12,13,6,7,1,9,13,1,0,South
South,5,5,3,1,21,9,25,14,7,0,15,22,South
South,5,5,3,1,21,9,25,14,6,0,14,23,South
South,5,5,3,1,21,9,25,14,5,0,15,24,South
South,5,5,3,1,21,9,25,14,2,0,18,27,South
South,9,3,11,7,19,12,22,9,13,11,16,20,South
South,9,3,11,7,19,12,22,9,12,10,17,19,South
South,9,3,11,7,19,12,22,9,11,9,18,18,South
South,9,3,11,7,19,12,22,9,10,8,19,19,South
South,9,3,11,7,19,12,22,9,9,7,20,20,South
South,9,3,11,7,19,12,22,9,8,8,21,21,South
South,9,3,11,7,19,12,22,9,7,9,22,22,South
South,10,13,13,13,14,13,17,13,4,1,2,5,South
South,4,9,6,11,12,8,7,1,11,7,4,0,South
South,3,9,6,11,11,8,7,1,11,8,4,0,South
South,3,8,7,11,11,7,7,1,11,8,4,0,South
South,3,9,7,10,10,6,7,1,10,7,2,0,South
South,6,8,4,9,22,10,25,13,1,2,17,23,South
South,11,6,3,1,20,12,21,9,5,0,12,12,South
South,10,6,3,1,21,12,21,9,3,0,14,11,South
South,10,5,3,1,21,12,21,9,3,0,15,12,South
South,11,5,3,1,22,12,21,9,3,0,17,12,South
South,1,1,3,1,22,5,23,10,0,0,3,2,South
South,1,1,3,1,22,6,22,10,0,0,1,3,South
South,1,4,6,10,14,8,7,1,21,10,4,0,South
South,1,3,6,9,13,8,7,1,21,10,4,0,South
South,1,4,6,9,12,8,7,1,19,9,4,0,South
South,1,3,7,9,12,7,7,1,19,7,4,0,South
South,2,3,6,10,12,5,7,1,15,10,3,0,South
South,3,3,8,8,18,10,25,13,13,3,9,18,South
South,3,3,9,7,18,9,24,12,11,1,10,20,South
South,2,3,3,1,18,8,24,13,11,0,10,20,South
South,1,3,3,1,17,9,24,13,9,0,13,25,South
South,1,1,6,6,2,9,7,1,0,1,6,0,South
South,11,3,13,6,19,11,22,7,10,9,10,17,South
South,10,3,13,5,19,10,22,7,8,9,10,17,South
South,10,3,13,5,19,9,22,6,7,8,10,15,South
South,11,3,13,6,20,9,21,6,7,6,12,13,South
South,12,3,14,6,20,10,21,7,7,6,14,13,South
South,12,4,14,5,20,11,22,7,5,6,16,15,South
South,1,1,3,1,5,1,22,4,0,0,0,11,South
South,1,1,3,1,5,1,21,5,0,0,0,4,South
South,1,1,3,1,5,1,22,5,0,0,0,4,South
