@relation all-data-pacman-weka.filters.unsupervised.attribute.Remove-R20-23-weka.filters.unsupervised.attribute.Remove-R4-7-weka.filters.unsupervised.attribute.Remove-R2-3

@attribute pacmanDirec {West,East,North,South,Stop}
@attribute ghost1XPos numeric
@attribute ghost1YPos numeric
@attribute ghost2XPos numeric
@attribute ghost2YPos numeric
@attribute ghost3XPos numeric
@attribute ghost3YPos numeric
@attribute ghost4XPos numeric
@attribute ghost4YPos numeric
@attribute ghost1Dist numeric
@attribute ghost2Dist numeric
@attribute ghost3Dist numeric
@attribute ghost4Dist numeric
@attribute action {West,East,North,South,Stop}

@data
East,1,1,3,1,14,13,17,13,0,0,2,5,East
East,1,1,3,1,14,13,17,13,0,0,1,4,East
East,1,1,3,1,5,1,17,13,0,0,0,3,East
East,1,1,3,1,5,1,17,13,0,0,0,2,East
East,1,1,3,1,5,1,17,13,0,0,0,1,East
East,1,1,6,7,5,1,7,1,0,5,0,0,East
East,1,1,5,7,5,1,7,1,0,3,0,0,East
East,1,1,4,7,5,1,7,1,0,1,0,0,East
East,1,1,3,1,22,11,25,15,0,0,19,25,East
East,1,1,3,1,22,10,24,15,0,0,17,23,East
East,1,1,3,1,22,11,23,15,0,0,17,21,East
East,1,1,3,1,22,12,23,14,0,0,17,21,East
East,1,1,3,1,23,12,23,15,0,0,17,19,East
East,1,1,3,1,22,12,22,15,0,0,15,17,East
East,1,1,3,1,22,13,22,14,0,0,15,17,East
East,1,1,3,1,21,13,23,14,0,0,13,15,East
East,1,1,3,1,21,12,22,14,0,0,11,15,East
East,1,1,3,1,22,12,23,14,0,0,11,14,East
East,1,1,3,1,22,13,23,14,0,0,11,12,East
East,1,1,3,1,23,13,22,14,0,0,11,12,East
East,1,1,3,1,25,15,23,14,0,0,9,7,East
East,1,1,3,1,25,15,23,15,0,0,8,7,East
East,1,1,3,1,24,15,24,15,0,0,6,5,East
East,1,1,3,1,24,14,23,15,0,0,4,3,East
East,1,1,3,1,24,13,24,14,0,0,2,2,East
East,3,9,3,1,5,1,7,1,2,0,0,0,East
East,10,4,10,9,19,11,19,8,14,9,16,20,East
East,10,4,9,9,20,11,20,8,13,7,16,18,East
East,10,4,9,10,20,12,20,9,12,5,16,18,East
East,10,4,9,11,20,12,21,9,11,3,15,16,East
East,9,4,9,10,19,12,20,9,9,3,13,16,East
East,1,1,3,1,23,11,22,9,0,0,18,14,East
East,1,1,3,1,22,11,22,8,0,0,16,14,East
East,1,1,3,1,22,10,23,8,0,0,14,14,East
East,1,1,3,1,22,11,23,9,0,0,14,14,East
East,1,1,3,1,22,12,23,10,0,0,14,13,East
East,1,1,3,1,22,11,23,10,0,0,12,12,East
East,1,1,3,1,23,11,23,10,0,0,12,12,East
East,1,1,3,1,23,12,23,11,0,0,12,12,East
East,1,1,3,1,22,12,23,12,0,0,10,10,East
