@relation all-data-pacman-weka.filters.unsupervised.attribute.Remove-R20-23-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R1-14

@attribute ghost1Dist numeric
@attribute ghost2Dist numeric
@attribute ghost3Dist numeric
@attribute ghost4Dist numeric
@attribute action {West,East,North,South,Stop}

@data
2,0,10,8,East
2,0,8,7,East
0,0,2,12,East
0,0,2,13,East
0,0,0,9,East
0,0,0,8,East
0,0,0,6,East
0,0,0,3,East
0,0,0,1,East
11,13,12,14,East
10,12,12,12,East
9,11,10,11,East
6,0,10,11,East
6,0,9,9,East
4,0,9,9,East
3,0,8,8,East
2,0,7,6,East
0,0,5,5,East
0,0,3,3,East
0,0,2,2,East
0,0,1,1,East
11,9,5,3,North
12,8,6,2,North
0,6,0,0,North
0,5,0,0,North
0,5,0,0,North
0,4,0,0,North
0,3,0,0,North
0,2,0,0,North
11,4,11,18,North
0,0,18,27,North
0,0,17,26,North
0,0,12,21,North
0,0,11,20,North
0,0,7,16,North
0,0,0,5,North
0,0,0,4,North
0,0,0,3,North
0,0,0,2,North
0,0,0,1,North
7,6,7,6,North
6,5,6,5,North
7,4,5,2,North
6,3,4,1,North
4,1,2,0,North
3,0,1,0,North
2,0,0,0,North
0,4,17,17,North
0,3,16,16,North
0,2,15,15,North
0,1,14,14,North
0,0,8,2,North
0,0,7,1,North
0,0,6,0,North
0,0,5,0,North
0,0,4,0,North
14,13,14,17,North
13,12,13,16,North
11,14,15,18,North
10,13,14,17,North
9,12,13,16,North
9,8,9,12,North
8,7,8,11,North
7,6,7,10,North
6,9,10,13,North
5,8,9,12,North
4,7,8,11,North
3,6,7,10,North
2,5,6,9,North
3,6,7,10,North
10,8,5,4,North
10,8,5,2,North
5,4,0,0,North
5,4,0,0,North
3,4,0,0,North
0,1,19,25,North
0,0,11,11,North
0,0,11,9,North
0,0,11,9,North
0,0,9,7,North
0,0,2,2,North
6,5,6,5,North
5,3,5,5,North
5,3,6,3,North
3,3,4,3,North
2,4,4,1,North
2,2,4,0,North
2,0,0,0,North
5,3,13,14,North
0,0,10,6,North
0,0,8,6,North
0,0,6,6,North
0,0,5,6,North
0,0,3,4,North
0,0,0,5,North
0,0,0,3,North
0,0,0,3,North
0,0,0,3,North
0,0,0,2,North
14,12,15,17,North
12,12,14,16,North
12,17,18,17,North
11,15,17,17,North
9,15,15,16,North
9,12,13,11,North
8,12,13,11,North
7,12,13,10,North
7,15,15,10,North
6,13,13,10,North
4,11,12,10,North
4,11,10,8,North
3,11,9,8,North
5,11,8,8,North
23,9,0,0,North
27,5,0,0,North
0,3,0,0,North
0,3,0,0,North
33,3,0,0,North
33,3,0,0,North
33,2,0,0,North
12,8,4,4,North
14,7,4,4,North
16,7,6,3,North
3,16,0,0,North
3,16,0,0,North
1,14,0,0,North
0,5,0,0,North
0,5,0,0,North
0,5,0,0,North
0,4,0,0,North
12,5,11,19,North
0,0,10,24,North
0,0,10,24,North
0,0,8,23,North
0,0,0,11,North
0,0,0,10,North
0,0,0,2,North
6,6,7,7,North
4,6,5,7,North
4,4,5,3,North
2,6,5,0,North
2,5,4,0,North
0,5,4,0,North
0,5,4,0,North
0,3,2,0,North
0,0,3,0,North
0,0,3,0,North
0,0,1,0,North
0,0,6,9,North
0,0,5,10,North
0,0,3,12,North
13,15,15,15,North
13,13,14,14,North
14,16,15,18,North
13,14,15,16,North
11,14,13,16,North
7,9,8,11,North
7,9,8,11,North
6,9,8,9,North
6,5,12,12,North
6,5,11,11,North
4,3,9,11,North
3,3,9,10,North
3,1,8,8,North
4,0,8,9,North
14,8,6,0,South
13,9,5,0,South
12,10,4,0,South
11,11,3,0,South
10,12,2,0,South
9,13,1,0,South
8,1,16,21,South
7,0,15,22,South
6,0,14,23,South
5,0,15,24,South
3,0,17,26,South
2,0,18,27,South
0,0,20,29,South
14,12,15,21,South
13,11,16,20,South
12,10,17,19,South
11,9,18,18,South
10,8,19,19,South
9,7,20,20,South
8,8,21,21,South
7,9,22,22,South
3,7,20,20,South
5,2,3,6,South
4,1,2,5,South
13,8,6,1,South
11,7,4,0,South
11,8,4,0,South
11,8,4,0,South
10,7,4,0,South
10,7,2,0,South
0,9,0,0,South
0,1,0,0,South
3,2,17,22,South
1,2,17,23,South
0,0,1,0,South
4,0,0,0,South
7,1,13,14,South
5,0,10,13,South
5,0,12,12,South
3,0,14,11,South
3,0,15,12,South
3,0,17,12,South
0,0,3,2,South
0,0,3,2,South
0,0,3,2,South
0,0,1,3,South
0,0,0,4,South
0,0,0,2,South
25,7,0,1,South
21,10,6,1,South
21,10,4,0,South
21,10,4,0,South
19,9,4,0,South
19,7,4,0,South
17,8,3,0,South
15,10,3,0,South
13,8,1,0,South
0,1,0,0,South
13,5,11,18,South
13,3,9,18,South
11,1,10,20,South
11,0,10,20,South
10,0,13,23,South
9,0,13,25,South
4,7,5,1,South
0,3,4,0,South
0,5,2,0,South
0,3,2,0,South
0,2,6,0,South
0,1,6,0,South
10,9,11,18,South
10,9,10,17,South
8,9,10,17,South
7,8,10,15,South
7,6,12,13,South
7,6,14,13,South
5,6,16,15,South
1,2,13,12,South
2,0,10,10,South
0,0,1,11,South
0,0,0,11,South
0,0,0,4,South
0,0,0,4,South
0,0,0,4,South
2,0,6,5,South
0,0,4,4,South
