@relation all-data-pacman-weka.filters.unsupervised.attribute.Remove-R21-23-weka.filters.unsupervised.attribute.Remove-R20-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.attribute.Remove-R2-15-weka.filters.supervised.attribute.NominalToBinary-weka.filters.unsupervised.attribute.Remove-R5

@attribute pacmanDirec=West numeric
@attribute pacmanDirec=East numeric
@attribute pacmanDirec=North numeric
@attribute pacmanDirec=South numeric
@attribute ghost1Dist numeric
@attribute ghost2Dist numeric
@attribute ghost3Dist numeric
@attribute ghost4Dist numeric
@attribute action {West,East,North,South,Stop}

@data
0,0,0,1,0.461538,0.391304,0.695652,0.62069,South
0,0,0,1,0.384615,0.391304,0.782609,0.62069,South
0,0,0,1,0.307692,0.304348,0.782609,0.689655,East
0,1,0,0,0.307692,0.304348,0.695652,0.62069,North
0,0,1,0,0.384615,0.304348,0.608696,0.62069,South
0,1,0,0,0.346154,0.304348,0.608696,0.551724,South
0,0,0,1,0.269231,0.304348,0.652174,0.517241,South
0,0,0,1,0.192308,0.304348,0.73913,0.551724,South
0,0,0,1,0.192308,0.304348,0.782609,0.586207,South
0,0,0,1,0.192308,0.304348,0.869565,0.655172,South
0,0,0,1,0.115385,0.391304,0.869565,0.655172,South
0,0,0,1,0.076923,0.391304,0.869565,0.724138,East
0,1,0,0,0.038462,0.391304,0.782609,0.655172,East
0,1,0,0,0,0.304348,0.695652,0.655172,North
0,0,1,0,0,0.304348,0.695652,0.62069,North
0,0,1,0,0,0.26087,0.608696,0.551724,North
0,0,1,0,0,0.173913,0.565217,0.482759,North
0,0,1,0,0,0.173913,0.521739,0.482759,North
0,0,1,0,0,0.173913,0.434783,0.482759,North
0,0,1,0,0,0.173913,0.521739,0.482759,South
0,1,0,0,0,0.086957,0.521739,0.482759,East
0,1,0,0,0,0.043478,0.434783,0.482759,East
0,1,0,0,0,0,0.434783,0.413793,South
0,0,0,1,0,0,0.434783,0.344828,South
0,0,0,1,0,0,0.391304,0.344828,East
0,1,0,0,0,0,0.391304,0.344828,East
0,1,0,0,0,0,0.391304,0.344828,South
0,0,0,1,0,0,0.391304,0.37931,East
0,1,0,0,0,0,0.304348,0.344828,East
0,1,0,0,0,0,0.304348,0.310345,East
0,1,0,0,0,0,0.304348,0.241379,East
0,1,0,0,0,0,0.304348,0.241379,South
0,0,0,1,0,0,0.217391,0.241379,East
0,1,0,0,0,0,0.217391,0.241379,North
0,0,1,0,0,0,0.217391,0.241379,South
0,1,0,0,0,0,0.217391,0.241379,South
0,0,0,1,0,0,0.130435,0.241379,South
0,0,0,1,0,0,0.086957,0.310345,East
0,1,0,0,0,0,0.086957,0.241379,East
0,1,0,0,0,0,0.043478,0.172414,East
0,1,0,0,0,0,0,0.206897,North
0,0,1,0,0,0,0,0.172414,North
0,0,1,0,0,0,0,0.172414,North
0,0,1,0,0,0,0,0.172414,North
0,0,1,0,0,0,0,0.103448,North
0,0,1,0,0,0,0,0.034483,North
0,0,1,0,0,0,0,0.034483,South
1,0,0,0,0.538462,0.521739,0.608696,0.551724,West
1,0,0,0,0.461538,0.565217,0.652174,0.586207,North
0,0,1,0,0.423077,0.478261,0.652174,0.517241,North
0,0,1,0,0.384615,0.478261,0.608696,0.482759,West
1,0,0,0,0.423077,0.478261,0.652174,0.482759,East
1,0,0,0,0.423077,0.521739,0.73913,0.482759,East
1,0,0,0,0.423077,0.565217,0.782609,0.551724,North
0,0,1,0,0.384615,0.565217,0.73913,0.551724,North
0,0,1,0,0.346154,0.565217,0.695652,0.482759,North
0,0,1,0,0.346154,0.565217,0.608696,0.413793,East
0,1,0,0,0.346154,0.521739,0.608696,0.37931,East
0,1,0,0,0.269231,0.434783,0.521739,0.37931,East
0,1,0,0,0.346154,0.434783,0.521739,0.344828,North
0,0,1,0,0.269231,0.434783,0.434783,0.310345,North
0,0,1,0,0.192308,0.347826,0.434783,0.275862,North
0,0,1,0,0.192308,0.304348,0.347826,0.275862,West
1,0,0,0,0.192308,0.391304,0.434783,0.275862,East
1,0,0,0,0.269231,0.478261,0.434783,0.310345,East
1,0,0,0,0.269231,0.521739,0.434783,0.344828,East
1,0,0,0,0.269231,0.565217,0.434783,0.413793,North
0,0,1,0,0.230769,0.565217,0.434783,0.344828,North
0,0,1,0,0.153846,0.478261,0.391304,0.344828,North
0,0,1,0,0.153846,0.391304,0.304348,0.310345,North
0,0,1,0,0.076923,0.304348,0.304348,0.310345,North
0,0,1,0,0.115385,0.304348,0.304348,0.310345,South
0,0,1,0,0.192308,0.304348,0.304348,0.344828,South
0,1,0,0,0.192308,0.304348,0.304348,0.275862,East
0,1,0,0,0.153846,0.26087,0.304348,0.275862,East
0,1,0,0,0.153846,0.26087,0.26087,0.275862,East
0,1,0,0,0.076923,0.173913,0.26087,0.241379,East
0,1,0,0,0.153846,0.173913,0.217391,0.172414,South
0,0,0,1,0.115385,0.173913,0.217391,0.137931,South
0,0,0,1,0.038462,0.26087,0.173913,0.068966,West
1,0,0,0,0,0.347826,0.217391,0.068966,East
1,0,0,0,0,0.391304,0.217391,0.103448,East
1,0,0,0,0,0.478261,0.26087,0.137931,East
0,1,0,0,0,0.391304,0.217391,0.068966,East
0,1,0,0,0,0.347826,0.173913,0.068966,East
0,1,0,0,0.884615,0.26087,0.130435,0,East
0,1,0,0,0.923077,0.26087,0.086957,0,East
0,1,0,0,0,0.26087,0.086957,0,East
0,1,0,0,0,0.217391,0,0,East
0,1,0,0,0,0.130435,0,0,West
1,0,0,0,0,0.130435,0,0,East
1,0,0,0,0,0.173913,0,0,East
1,0,0,0,0,0.26087,0,0,North
0,0,1,0,0,0.173913,0,0,North
0,0,1,0,0,0.086957,0,0,East
0,1,0,0,0,0.043478,0,0,East
0,0,1,0,0.461538,0.304348,0.304348,0.103448,North
