@relation all-data-pacman-weka.filters.unsupervised.attribute.Remove-R21-23-weka.filters.unsupervised.attribute.Remove-R20-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.supervised.instance.Resample-B1.0-S1-Z100.0

@attribute pacmanDirec {West,East,North,South,Stop}
@attribute pacmanXpos numeric
@attribute pacmanYpos numeric
@attribute LivingGhost1 {False,True}
@attribute LivingGhost2 {False,True}
@attribute LivingGhost3 {False,True}
@attribute LivingGhost4 {False,True}
@attribute ghost1XPos numeric
@attribute ghost1YPos numeric
@attribute ghost2XPos numeric
@attribute ghost2YPos numeric
@attribute ghost3XPos numeric
@attribute ghost3YPos numeric
@attribute ghost4XPos numeric
@attribute ghost4YPos numeric
@attribute ghost1Dist numeric
@attribute ghost2Dist numeric
@attribute ghost3Dist numeric
@attribute ghost4Dist numeric
@attribute action {West,East,North,South,Stop}

@data
West,0.333333,0.5,True,True,True,True,0.285714,0.285714,0.294118,0.45,0.833333,0.533333,1,0.928571,0.30303,0.176471,0.608696,0.542857,West
South,0.083333,0.1,True,False,True,True,0.071429,0.142857,0.058824,0,0.708333,0.466667,1,0.928571,0.030303,0,0.869565,0.971429,West
North,0.041667,0.45,True,False,False,False,0,0.642857,0.058824,0,0.166667,0,0.217391,0,0.030303,0,0,0,West
West,0.5,0,True,True,True,True,0.642857,0.857143,0.647059,0.6,0.583333,0.8,0.652174,0.857143,0.454545,0.705882,0.608696,0.428571,West
East,0.458333,0.15,True,False,True,True,0.714286,0.357143,0.058824,0,0.791667,0.666667,0.869565,0.357143,0.090909,0,0.652174,0.371429,West
West,0.833333,0.55,False,False,True,False,0,0,0.058824,0,0.75,0.733333,0.217391,0,0,0,0.086957,0,West
West,0.25,0.25,True,True,False,False,0.142857,0.571429,0.294118,0.4,0.166667,0,0.217391,0,0.212121,0.176471,0,0,West
West,0.125,0.35,True,True,False,False,0,0.5,0.294118,0.3,0.166667,0,0.217391,0,0.090909,0.235294,0,0,West
North,0.458333,0.1,True,True,True,True,0.642857,0.857143,0.647059,0.6,0.541667,0.8,0.652174,0.857143,0.363636,0.647059,0.521739,0.428571,West
West,0.041667,0.1,False,False,True,True,0,0,0.058824,0,0.708333,0.466667,1,1,0,0,0.913043,1,West
South,0.5,0.35,True,True,True,False,0.071429,0.5,0.235294,0.5,0.416667,0.333333,0.217391,0,0.333333,0.588235,0.173913,0,West
South,0.333333,0.25,True,False,True,True,0.071429,0.142857,0.058824,0,0.708333,0.466667,0.956522,0.785714,0.30303,0,0.478261,0.6,West
West,0.875,0.45,False,False,True,True,0,0,0.058824,0,0.875,0.533333,0.869565,0.714286,0,0,0.043478,0.057143,West
