@relation all-data-pacman-weka.filters.unsupervised.attribute.Remove-R20-23-weka.filters.unsupervised.attribute.Remove-R4-7-weka.filters.unsupervised.attribute.Remove-R2-3-weka.filters.unsupervised.attribute.Remove-R10-13

@attribute pacmanDirec {West,East,North,South,Stop}
@attribute ghost1XPos numeric
@attribute ghost1YPos numeric
@attribute ghost2XPos numeric
@attribute ghost2YPos numeric
@attribute ghost3XPos numeric
@attribute ghost3YPos numeric
@attribute ghost4XPos numeric
@attribute ghost4YPos numeric
@attribute action {West,East,North,South,Stop}

@data
East,1,1,3,1,5,1,24,11,East
East,1,1,3,1,5,1,24,11,East
East,1,1,3,1,5,1,24,11,East
East,1,1,3,1,5,1,23,11,East
East,1,1,3,1,5,1,23,10,East
East,1,8,2,8,2,8,6,7,East
East,2,8,2,8,2,7,6,6,East
East,3,8,2,9,2,6,6,5,East
East,1,1,5,7,5,10,7,1,East
East,1,1,5,7,4,10,7,1,East
East,1,1,4,7,5,10,7,1,East
East,1,1,6,6,2,9,7,1,East
East,10,3,12,8,18,12,21,9,East
East,10,3,12,9,18,11,21,8,East
East,10,4,12,8,19,11,22,8,East
East,10,4,12,7,19,12,22,7,East
East,12,4,13,6,19,10,23,6,East
East,14,6,3,1,20,11,22,5,East
East,14,5,3,1,20,11,22,5,East
East,14,6,3,1,18,10,21,4,East
East,1,1,3,1,5,1,22,4,East
East,1,1,3,1,5,1,22,4,East
East,13,13,12,16,14,14,16,13,East
East,13,13,12,16,14,13,15,13,East
East,13,13,3,1,16,13,17,13,East
East,12,13,4,1,17,13,16,13,East
East,12,13,5,1,17,13,17,13,East
East,12,13,6,1,17,13,17,13,East
East,2,1,8,1,17,13,17,13,East
East,1,1,9,1,17,13,17,13,East
North,5,6,5,12,13,6,13,12,East
North,1,1,5,12,5,1,7,1,East
North,1,1,3,1,21,9,25,14,East
North,1,1,3,1,21,9,25,14,East
North,1,1,3,1,21,9,25,14,East
North,1,10,2,8,2,9,3,7,East
North,1,1,3,1,19,12,22,9,East
North,10,13,13,13,14,13,17,13,East
North,10,13,13,13,14,13,17,13,East
North,5,8,6,12,12,6,13,12,East
North,1,1,3,1,25,14,23,13,East
North,1,1,3,1,24,12,23,14,East
North,1,10,2,7,1,9,2,8,East
North,2,9,2,10,1,10,3,8,East
North,10,6,10,11,20,12,21,8,East
North,1,1,3,1,5,1,23,11,East
North,1,1,3,1,5,1,23,10,East
North,10,13,15,15,15,15,17,13,East
North,13,13,16,18,14,15,15,13,East
North,2,3,17,18,6,1,7,1,East
North,1,1,18,18,5,1,7,1,East
