@relation all-data-pacman-weka.filters.unsupervised.attribute.Remove-R20-23-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.supervised.attribute.NominalToBinary-weka.filters.unsupervised.attribute.Remove-R15-18-weka.filters.unsupervised.attribute.Remove-R3-6-weka.filters.unsupervised.attribute.Remove-R1-2

@attribute ghost1XPos numeric
@attribute ghost1YPos numeric
@attribute ghost2XPos numeric
@attribute ghost2YPos numeric
@attribute ghost3XPos numeric
@attribute ghost3YPos numeric
@attribute ghost4XPos numeric
@attribute ghost4YPos numeric
@attribute action {West,East,North,South,Stop}

@data
12,13,3,1,16,13,16,13,East
1,1,3,1,21,9,25,14,East
9,3,11,7,19,12,22,9,East
9,3,11,7,19,12,22,9,East
1,1,7,7,5,1,7,1,East
4,9,3,1,5,1,7,1,East
10,5,10,9,19,11,20,8,East
10,5,10,11,21,12,21,10,East
12,5,3,1,22,11,21,8,East
11,5,3,1,23,11,21,9,East
1,1,3,1,22,7,22,11,East
1,3,8,10,5,1,7,1,East
4,7,3,9,1,6,7,1,East
1,1,6,7,2,9,7,1,East
12,5,13,5,20,10,23,7,East
11,5,12,5,19,11,22,6,East
15,6,3,1,19,10,22,4,East
1,1,3,1,5,1,22,3,East
1,1,3,1,5,1,22,4,East
1,1,3,1,5,1,22,4,East
1,1,6,1,17,13,16,13,East
2,1,7,1,17,13,17,13,East
1,1,5,12,5,1,7,1,North
1,10,2,8,2,9,7,1,North
10,13,13,13,14,13,17,13,North
10,13,13,13,14,13,17,13,North
10,13,13,13,14,13,17,13,North
4,9,7,9,5,1,7,1,North
1,9,6,7,5,1,7,1,North
1,1,5,9,22,10,24,13,North
10,13,12,13,15,13,16,13,North
11,13,14,15,15,15,16,13,North
11,13,17,15,17,15,15,13,North
1,8,10,12,5,1,7,1,North
6,6,4,10,1,6,7,1,North
1,1,6,6,2,9,7,1,North
1,1,3,1,3,8,7,1,North
1,1,3,1,3,9,7,1,North
11,13,14,14,15,13,16,13,North
13,13,13,15,14,13,16,13,North
10,13,8,14,16,13,16,13,North
1,1,5,12,5,1,7,1,North
1,1,3,1,21,9,25,14,North
1,1,3,1,21,9,25,14,North
1,1,3,1,21,9,25,14,North
1,1,3,1,5,1,25,14,North
1,10,2,8,2,9,3,7,North
1,1,11,7,19,12,22,9,North
1,1,3,1,19,12,22,9,North
10,13,13,13,14,13,17,13,North
1,1,3,1,24,13,23,14,North
1,1,3,1,24,13,23,14,North
1,9,2,8,1,10,2,7,North
3,9,2,10,1,9,3,8,North
2,9,3,1,5,1,7,1,North
10,6,10,12,20,12,21,9,North
1,1,3,1,19,11,23,10,North
10,13,15,15,16,15,16,13,North
1,2,17,18,6,1,6,1,North
1,2,18,21,5,1,9,1,North
1,1,7,12,5,1,7,1,North
1,1,3,1,15,7,23,14,North
1,1,3,1,5,1,23,11,North
1,1,3,1,5,1,23,10,North
1,7,2,8,1,8,6,6,North
1,1,4,7,4,10,7,1,North
12,13,12,15,13,13,15,13,North
5,6,5,12,13,6,13,12,North
1,1,5,12,5,1,7,1,North
1,1,5,12,5,1,7,1,North
1,1,5,12,5,1,7,1,North
1,1,5,12,5,1,7,1,North
1,1,3,1,21,9,25,14,North
1,1,3,1,21,9,25,14,North
1,1,3,1,5,1,25,14,North
1,1,3,1,5,1,25,14,North
1,1,3,1,5,1,25,14,North
1,1,3,1,5,1,25,14,North
1,10,2,8,2,9,3,7,North
1,10,2,8,2,9,3,7,North
1,10,3,1,2,9,7,1,North
1,10,3,1,5,1,7,1,North
1,1,11,7,19,12,22,9,North
1,1,11,7,19,12,22,9,North
1,1,11,7,19,12,22,9,North
1,1,3,1,19,12,22,9,North
1,1,3,1,19,12,7,1,North
1,1,3,1,19,12,7,1,North
1,1,3,1,19,12,7,1,North
10,13,13,13,14,13,17,13,North
10,13,13,13,14,13,17,13,North
10,13,13,13,14,13,17,13,North
10,13,13,13,14,13,17,13,North
10,13,13,13,14,13,17,13,North
10,13,13,13,14,13,17,13,North
10,13,13,13,14,13,17,13,North
10,13,13,13,14,13,17,13,North
10,13,13,13,14,13,17,13,North
10,13,13,13,14,13,17,13,North
5,8,5,12,12,6,14,12,North
3,9,8,9,5,1,7,1,North
1,1,3,1,24,14,23,14,North
1,1,3,1,25,14,23,13,North
1,1,3,1,25,13,23,14,North
1,9,2,6,1,9,2,7,North
2,9,2,9,1,9,3,7,North
4,9,2,9,1,10,7,1,North
1,1,3,1,20,11,23,11,North
1,1,3,1,20,10,23,12,North
1,1,3,1,20,10,22,12,North
1,1,3,1,20,9,21,12,North
1,1,3,1,5,1,23,10,North
1,1,3,1,5,1,22,10,North
1,1,3,1,5,1,23,10,North
1,1,3,1,5,1,23,10,North
11,13,13,13,15,13,17,13,North
11,13,13,15,15,15,16,13,North
10,13,14,15,14,15,17,13,North
10,13,16,15,17,15,16,13,North
10,13,17,15,18,15,17,13,North
11,13,16,15,16,15,14,13,North
10,13,15,15,16,15,15,13,North
11,13,15,16,15,15,16,13,North
11,13,15,17,15,15,15,13,North
12,13,15,18,15,15,16,13,North
1,1,16,18,6,1,7,1,North
2,1,17,18,6,1,6,1,North
1,3,17,21,6,1,10,1,North
2,3,17,21,5,1,11,1,North
4,5,5,11,13,8,13,13,North
3,5,5,12,14,8,14,13,North
1,9,10,13,5,1,7,1,North
1,8,9,13,5,1,7,1,North
1,1,7,13,5,1,7,1,North
1,1,8,13,5,1,7,1,North
1,1,8,13,5,1,7,1,North
1,1,3,1,16,7,23,13,North
1,1,3,1,15,7,23,14,North
1,1,3,1,5,1,23,11,North
1,8,3,8,2,8,4,7,North
6,7,4,10,1,6,7,1,North
1,1,5,6,3,9,7,1,North
1,1,3,1,3,9,7,1,North
1,1,3,1,18,10,22,4,North
1,1,3,1,18,10,23,4,North
1,1,3,1,18,9,23,4,North
10,13,13,14,15,13,15,13,North
13,13,12,15,14,14,17,13,North
12,13,12,16,13,14,16,13,North
13,13,11,15,14,13,16,13,North
13,13,10,15,15,13,17,13,North
11,13,8,15,16,13,16,13,North
10,13,8,14,15,13,16,13,North
10,13,8,15,16,13,17,13,North
11,13,8,14,16,13,17,13,North
11,13,2,1,15,13,16,13,North
1,1,3,1,5,1,22,10,North
1,3,18,18,6,1,7,1,North
5,5,7,10,21,9,25,14,South
5,5,3,1,21,9,25,14,South
1,1,3,1,21,9,25,14,South
2,9,7,11,10,5,7,1,South
1,1,8,7,5,1,7,1,South
6,7,5,9,23,10,24,13,South
5,9,3,1,5,1,7,1,South
1,1,3,1,22,8,21,11,South
1,1,3,1,5,1,21,10,South
