@relation all-data-pacman-weka.filters.unsupervised.attribute.Remove-R21-23-weka.filters.unsupervised.attribute.Remove-R20-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.attribute.Remove-R2-15-weka.filters.supervised.attribute.NominalToBinary-weka.filters.unsupervised.attribute.Remove-R5-weka.filters.unsupervised.attribute.Remove-R1-4

@attribute ghost1Dist numeric
@attribute ghost2Dist numeric
@attribute ghost3Dist numeric
@attribute ghost4Dist numeric
@attribute action {West,East,North,South,Stop}

@data
0,0,0.826087,0.714286,East
0,0,0.73913,0.657143,East
0,0,0.73913,0.6,East
0,0,0.73913,0.6,East
0,0,0.73913,0.542857,East
0,0,0.652174,0.485714,East
0,0,0.652174,0.485714,East
0,0,0.565217,0.428571,East
0,0,0.478261,0.428571,East
0,0,0.478261,0.4,East
0,0,0.478261,0.342857,East
0,0,0.478261,0.342857,East
0,0,0.391304,0.2,East
0,0,0.347826,0.2,East
0,0,0.26087,0.142857,East
0,0,0.173913,0.085714,East
0,0,0.086957,0.057143,East
0.060606,0,0,0,East
0.424242,0.529412,0.695652,0.571429,East
0.393939,0.411765,0.695652,0.514286,East
0.363636,0.294118,0.695652,0.514286,East
0.333333,0.176471,0.652174,0.457143,East
0.272727,0.176471,0.565217,0.457143,East
0,0,0.782609,0.4,East
0,0,0.695652,0.4,East
0,0,0.608696,0.4,East
0,0,0.608696,0.4,East
0,0,0.608696,0.371429,East
0,0,0.521739,0.342857,East
0,0,0.521739,0.342857,East
0,0,0.521739,0.342857,East
0,0,0.434783,0.285714,East
0,0,0.347826,0.257143,East
0,0,0.347826,0.228571,East
0,0,0.347826,0.171429,East
0.212121,0.882353,0.652174,0.4,East
0.242424,0.764706,0.565217,0.342857,East
0.151515,0.647059,0.217391,0.228571,East
0.121212,0.588235,0.130435,0.171429,East
0.060606,0.588235,0.130435,0.114286,East
0.030303,0.529412,0.086957,0.085714,East
0.757576,0.294118,0,0,East
0.939394,0.176471,0,0,East
0,0.176471,0,0,East
0.575758,0.529412,0.26087,0.028571,East
0,0.647059,0,0,East
0,0.647059,0,0,East
0,0.529412,0,0,East
0,0.411765,0,0,East
0,0,0.782609,0.914286,East
0,0,0.695652,0.885714,East
0,0,0.608696,0.857143,East
0,0,0.608696,0.857143,East
0,0,0.608696,0.8,East
0,0,0.521739,0.742857,East
0,0,0.304348,0.628571,East
0,0,0.217391,0.571429,East
0,0,0.217391,0.542857,East
0,0,0.130435,0.514286,East
0,0,0.043478,0.457143,East
0,0,0,0.4,East
0,0,0,0.342857,East
0,0,0,0.257143,East
0,0,0,0.228571,East
0,0,0,0.2,East
0,0,0,0.142857,East
0,0,0,0.085714,East
0,0,0,0.057143,East
0.121212,0.176471,0.130435,0.142857,East
0.121212,0.235294,0.130435,0.085714,East
0.121212,0.352941,0.130435,0.085714,East
0,0.294118,0.173913,0,East
0,0.235294,0.086957,0,East
0,0.117647,0.086957,0,East
0,0.176471,0.173913,0,East
0.424242,0.647059,0.565217,0.571429,East
0.393939,0.529412,0.565217,0.571429,East
0.333333,0.529412,0.565217,0.571429,East
0.30303,0.529412,0.478261,0.542857,East
0.090909,0.235294,0.608696,0.371429,East
0.060606,0,0.565217,0.314286,East
0.060606,0,0.521739,0.314286,East
0.060606,0,0.347826,0.2,East
0,0,0,0.228571,East
0,0,0,0.171429,East
0.30303,0.705882,0.521739,0.342857,East
0.272727,0.647059,0.434783,0.314286,East
0.181818,0,0.391304,0.257143,East
0.121212,0,0.391304,0.257143,East
0.090909,0,0.347826,0.228571,East
0.060606,0,0.304348,0.171429,East
0,0,0.086957,0.057143,East
0,0,0.043478,0.028571,East
0,0.294118,0,0,North
0,0,0.782609,0.771429,North
0,0,0.521739,0.6,North
0,0,0.304348,0.457143,North
0,0,0,0.142857,North
0.212121,0.235294,0.217391,0.057143,North
0,0.235294,0.73913,0.485714,North
0,0,0.347826,0.057143,North
0.272727,0.470588,0.391304,0.342857,North
0,0,0.478261,0.314286,North
0,0,0.086957,0.057143,North
0.151515,0.176471,0.26087,0.085714,North
0.060606,0.235294,0.173913,0.028571,North
0.060606,0,0,0,North
0.151515,0.176471,0.565217,0.4,North
0,0,0.434783,0.171429,North
0.272727,0.705882,0.565217,0.314286,North
0.818182,0.294118,0,0,North
1,0.176471,0,0,North
0,0.294118,0,0,North
0,0,0.434783,0.685714,North
0,0,0,0.314286,North
0,0,0,0.057143,North
0.121212,0.235294,0.217391,0.085714,North
0,0.176471,0.086957,0,North
0.212121,0.529412,0.347826,0.314286,North
0.424242,0.470588,0.26087,0,South
0.090909,0.411765,0.869565,0.571429,South
0.151515,0.117647,0.130435,0.171429,South
0.393939,0.470588,0.26087,0.028571,South
0,0.058824,0,0,South
0,0,0.043478,0,South
0.212121,0.058824,0.565217,0.4,South
0.151515,0,0.434783,0.371429,South
0,0,0.130435,0.057143,South
0,0,0,0.114286,South
0.757576,0.411765,0,0.028571,South
0.636364,0.588235,0.26087,0.028571,South
0,0.058824,0,0,South
0.121212,0.411765,0.217391,0.028571,South
0,0.117647,0.26087,0,South
0.30303,0.529412,0.478261,0.514286,South
0.030303,0.117647,0.565217,0.342857,South
0.060606,0,0.434783,0.285714,South
0,0,0.043478,0.314286,South
0,0,0,0.114286,South
0.060606,0,0.26087,0.142857,South
0,0,0.173913,0.114286,South
0,0.058824,0,0,West
