@relation all-data-pacman-weka.filters.unsupervised.attribute.Remove-R20-23-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.supervised.attribute.NominalToBinary-weka.filters.unsupervised.attribute.Remove-R15-18-weka.filters.unsupervised.attribute.Remove-R3-6

@attribute pacmanXpos numeric
@attribute pacmanYpos numeric
@attribute ghost1XPos numeric
@attribute ghost1YPos numeric
@attribute ghost2XPos numeric
@attribute ghost2YPos numeric
@attribute ghost3XPos numeric
@attribute ghost3YPos numeric
@attribute ghost4XPos numeric
@attribute ghost4YPos numeric
@attribute action {West,East,North,South,Stop}

@data
21,9,1,1,3,1,5,1,25,14,East
22,9,1,1,3,1,5,1,25,14,East
23,9,1,1,3,1,5,1,25,14,East
24,9,1,1,3,1,5,1,25,14,East
2,5,1,10,2,8,2,9,3,7,East
5,4,9,3,11,7,19,12,22,9,East
6,4,9,3,11,7,19,12,22,9,East
8,3,9,3,11,7,19,12,22,9,East
9,3,1,1,11,7,19,12,22,9,East
10,3,1,1,11,7,19,12,22,9,East
12,7,1,1,3,1,19,12,22,9,East
13,7,1,1,3,1,19,12,22,9,East
14,7,1,1,3,1,19,12,22,9,East
15,7,1,1,3,1,19,12,22,9,East
16,7,1,1,3,1,19,12,22,9,East
17,7,1,1,3,1,19,12,22,9,East
18,7,1,1,3,1,19,12,22,9,East
19,7,1,1,3,1,19,12,22,9,East
20,7,1,1,3,1,19,12,22,9,East
21,7,1,1,3,1,19,12,22,9,East
10,6,10,13,13,13,14,13,17,13,East
11,6,10,13,13,13,14,13,17,13,East
9,15,10,13,13,13,14,13,17,13,East
10,15,10,13,13,13,14,13,17,13,East
11,15,10,13,13,13,14,13,17,13,East
12,15,10,13,13,13,14,13,17,13,East
11,13,1,1,3,1,14,13,17,13,East
12,13,1,1,3,1,14,13,17,13,East
13,13,1,1,3,1,14,13,17,13,East
14,13,1,1,3,1,5,1,17,13,East
15,13,1,1,3,1,5,1,17,13,East
16,13,1,1,3,1,5,1,17,13,East
2,8,1,1,6,7,5,1,7,1,East
3,8,1,1,5,7,5,1,7,1,East
4,8,1,1,4,7,5,1,7,1,East
5,9,1,1,3,1,22,11,25,15,East
6,9,1,1,3,1,22,10,24,15,East
7,9,1,1,3,1,22,11,23,15,East
8,9,1,1,3,1,22,12,23,14,East
9,9,1,1,3,1,23,12,23,15,East
10,9,1,1,3,1,22,12,22,15,East
11,9,1,1,3,1,22,13,22,14,East
12,9,1,1,3,1,21,13,23,14,East
13,9,1,1,3,1,21,12,22,14,East
14,9,1,1,3,1,22,12,23,14,East
15,9,1,1,3,1,22,13,23,14,East
16,9,1,1,3,1,23,13,22,14,East
18,13,1,1,3,1,25,15,23,14,East
19,13,1,1,3,1,25,15,23,15,East
20,13,1,1,3,1,24,15,24,15,East
21,13,1,1,3,1,24,14,23,15,East
23,14,1,1,3,1,24,13,24,14,East
2,8,3,9,3,1,5,1,7,1,East
3,11,10,4,10,9,19,11,19,8,East
4,11,10,4,9,9,20,11,20,8,East
5,11,10,4,9,10,20,12,20,9,East
6,11,10,4,9,11,20,12,21,9,East
7,11,9,4,9,10,19,12,20,9,East
11,5,1,1,3,1,23,11,22,9,East
12,5,1,1,3,1,22,11,22,8,East
13,5,1,1,3,1,22,10,23,8,East
14,5,1,1,3,1,22,11,23,9,East
15,5,1,1,3,1,22,12,23,10,East
16,5,1,1,3,1,22,11,23,10,East
17,5,1,1,3,1,23,11,23,10,East
18,5,1,1,3,1,23,12,23,11,East
19,5,1,1,3,1,22,12,23,12,East
20,5,1,1,3,1,21,12,23,11,East
21,5,1,1,3,1,20,12,23,11,East
22,5,1,1,3,1,20,11,23,11,East
10,6,10,13,15,16,15,16,17,13,East
11,6,10,13,15,15,15,15,17,13,East
9,15,13,14,17,18,14,15,14,13,East
10,15,13,14,17,18,13,15,15,13,East
11,15,13,15,18,18,14,15,14,13,East
12,15,13,15,18,18,14,15,14,14,East
14,15,1,3,16,18,6,1,6,1,East
16,18,1,2,18,19,6,1,8,1,East
17,18,1,1,18,20,5,1,9,1,East
13,13,3,4,6,11,14,8,14,12,East
2,8,1,1,8,13,5,1,7,1,East
3,8,1,1,8,14,5,1,7,1,East
4,8,1,1,8,13,5,1,7,1,East
5,8,1,1,7,13,5,1,7,1,East
2,4,1,1,3,1,16,8,24,15,East
3,4,1,1,3,1,15,8,23,15,East
4,4,1,1,3,1,15,7,23,15,East
5,4,1,1,3,1,15,8,23,15,East
6,4,1,1,3,1,16,8,24,15,East
7,4,1,1,3,1,16,7,24,14,East
9,7,1,1,3,1,16,7,24,14,East
10,7,1,1,3,1,15,7,24,14,East
11,7,1,1,3,1,16,7,24,13,East
12,7,1,1,3,1,15,7,24,13,East
13,7,1,1,3,1,14,7,24,13,East
14,7,1,1,3,1,5,1,24,12,East
15,7,1,1,3,1,5,1,23,12,East
17,9,1,1,3,1,5,1,23,11,East
18,9,1,1,3,1,5,1,24,11,East
19,9,1,1,3,1,5,1,24,11,East
20,9,1,1,3,1,5,1,24,11,East
21,9,1,1,3,1,5,1,23,11,East
22,9,1,1,3,1,5,1,23,10,East
2,5,1,8,2,8,2,8,6,7,East
4,6,2,8,2,8,2,7,6,6,East
5,6,3,8,2,9,2,6,6,5,East
2,9,1,1,5,7,5,10,7,1,East
3,9,1,1,5,7,4,10,7,1,East
4,9,1,1,4,7,5,10,7,1,East
5,8,1,1,6,6,2,9,7,1,East
5,12,10,3,12,8,18,12,21,9,East
6,12,10,3,12,9,18,11,21,8,East
7,12,10,4,12,8,19,11,22,8,East
8,12,10,4,12,7,19,12,22,7,East
10,5,12,4,13,6,19,10,23,6,East
12,6,14,6,3,1,20,11,22,5,East
13,6,14,5,3,1,20,11,22,5,East
15,5,14,6,3,1,18,10,21,4,East
18,8,1,1,3,1,5,1,22,4,East
19,8,1,1,3,1,5,1,22,4,East
10,6,13,13,12,16,14,14,16,13,East
11,6,13,13,12,16,14,13,15,13,East
9,15,13,13,3,1,16,13,17,13,East
10,15,12,13,4,1,17,13,16,13,East
11,15,12,13,5,1,17,13,17,13,East
12,15,12,13,6,1,17,13,17,13,East
15,13,2,1,8,1,17,13,17,13,East
16,13,1,1,9,1,17,13,17,13,East
12,12,5,6,5,12,13,6,13,12,East
5,8,1,1,5,12,5,1,7,1,East
8,6,1,1,3,1,21,9,25,14,East
12,8,1,1,3,1,21,9,25,14,East
15,9,1,1,3,1,21,9,25,14,East
1,5,1,10,2,8,2,9,3,7,East
11,7,1,1,3,1,19,12,22,9,East
9,6,10,13,13,13,14,13,17,13,East
8,15,10,13,13,13,14,13,17,13,East
12,12,5,8,6,12,12,6,13,12,East
17,13,1,1,3,1,25,14,23,13,East
22,14,1,1,3,1,24,12,23,14,East
1,5,1,10,2,7,1,9,2,8,East
2,7,2,9,2,10,1,10,3,8,East
9,11,10,6,10,11,20,12,21,8,East
22,10,1,1,3,1,5,1,23,11,East
22,12,1,1,3,1,5,1,23,10,East
9,6,10,13,15,15,15,15,17,13,East
8,15,13,13,16,18,14,15,15,13,East
13,15,2,3,17,18,6,1,7,1,East
15,18,1,1,18,18,5,1,7,1,East
12,13,3,4,5,11,14,9,14,13,East
1,8,1,1,9,13,5,1,7,1,East
6,12,1,1,8,12,5,1,7,1,East
6,13,1,1,7,12,5,1,7,1,East
1,4,1,1,3,1,16,8,24,15,East
8,7,1,1,3,1,16,7,23,14,East
16,9,1,1,3,1,5,1,23,11,East
1,5,1,7,3,8,2,8,5,7,East
3,6,2,7,2,9,2,8,6,5,East
5,7,6,7,5,10,2,6,7,1,East
1,8,1,1,5,6,4,9,7,1,East
1,9,1,1,5,6,4,10,7,1,East
11,6,13,6,3,1,19,11,23,5,East
16,9,1,1,3,1,18,9,23,3,East
16,10,1,1,3,1,17,9,22,3,East
9,6,13,13,12,16,13,14,17,13,East
8,15,12,13,3,1,16,13,16,13,East
5,4,1,1,3,1,21,9,25,14,East
4,4,9,3,11,7,19,12,22,9,East
7,3,9,3,11,7,19,12,22,9,East
1,8,1,1,7,7,5,1,7,1,East
1,8,4,9,3,1,5,1,7,1,East
2,11,10,5,10,9,19,11,20,8,East
8,10,10,5,10,11,21,12,21,10,East
10,6,12,5,3,1,22,11,21,8,East
