@relation all-data-pacman-weka.filters.unsupervised.attribute.Remove-R20-23

@attribute pacmanDirec {West,East,North,South,Stop}
@attribute pacmanXpos numeric
@attribute pacmanYpos numeric
@attribute LivingGhost1 {False,True}
@attribute LivingGhost2 {False,True}
@attribute LivingGhost3 {False,True}
@attribute LivingGhost4 {False,True}
@attribute ghost1XPos numeric
@attribute ghost1YPos numeric
@attribute ghost2XPos numeric
@attribute ghost2YPos numeric
@attribute ghost3XPos numeric
@attribute ghost3YPos numeric
@attribute ghost4XPos numeric
@attribute ghost4YPos numeric
@attribute ghost1Dist numeric
@attribute ghost2Dist numeric
@attribute ghost3Dist numeric
@attribute ghost4Dist numeric
@attribute action {West,East,North,South,Stop}

@data
North,10,11,True,True,True,True,5,5,6,11,20,8,24,14,11,4,13,18,West
West,9,11,True,True,True,True,6,5,6,10,20,8,24,15,9,4,14,19,South
South,9,10,True,True,True,True,6,4,6,11,20,7,24,15,9,4,14,20,North
West,8,10,True,True,True,True,6,3,6,11,20,8,24,15,9,3,14,21,North
North,8,11,True,True,True,True,6,3,6,11,21,8,24,15,10,2,16,20,West
West,7,11,True,False,True,True,7,3,3,1,21,7,24,15,8,0,18,20,South
South,7,10,True,False,True,True,6,3,3,1,20,7,24,14,8,0,16,20,South
South,7,9,True,False,True,True,6,3,3,1,20,7,24,13,7,0,15,20,South
South,7,8,True,False,True,True,5,3,3,1,21,7,24,12,7,0,15,22,South
South,7,7,True,False,True,True,4,3,3,1,20,7,25,12,7,0,13,22,West
West,6,7,True,False,True,True,4,4,3,1,20,6,24,12,5,0,15,24,South
South,6,6,True,False,True,True,4,4,3,1,20,7,24,13,4,0,15,24,South
South,6,5,True,False,True,True,4,4,3,1,21,7,24,12,3,0,17,25,South
South,6,4,True,False,True,True,3,4,3,1,21,8,24,12,3,0,19,27,West
West,5,4,True,False,True,True,3,5,3,1,20,8,25,12,3,0,19,28,North
North,5,5,True,False,True,True,3,5,3,1,21,8,25,12,2,0,19,27,West
West,4,5,True,False,True,True,3,6,3,1,22,8,25,12,2,0,21,28,North
North,4,6,True,False,True,True,3,7,3,1,23,8,25,12,2,0,21,28,West
West,3,6,True,False,True,True,3,7,3,1,22,8,25,13,1,0,21,29,North
North,3,7,False,False,True,True,1,1,3,1,22,9,25,13,0,0,21,28,North
North,3,8,False,False,True,True,1,1,3,1,22,9,25,13,0,0,20,28,North
North,3,9,False,False,True,True,1,1,3,1,23,9,25,14,0,0,20,26,East
