@relation var5_nonorm_nobalanced-weka.filters.unsupervised.attribute.Remove-R16-19

@attribute pacmanDirec {West,East,North,South,Stop}
@attribute pacmanXpos numeric
@attribute pacmanYpos numeric
@attribute LivingGhost1 {False,True}
@attribute LivingGhost2 {False,True}
@attribute LivingGhost3 {False,True}
@attribute LivingGhost4 {False,True}
@attribute ghost1XPos numeric
@attribute ghost1YPos numeric
@attribute ghost2XPos numeric
@attribute ghost2YPos numeric
@attribute ghost3XPos numeric
@attribute ghost3YPos numeric
@attribute ghost4XPos numeric
@attribute ghost4YPos numeric
@attribute action {West,East,North,South,Stop}

@data
South,4,11,True,True,True,True,9,3,11,7,19,12,22,9,South
South,4,10,True,True,True,True,9,3,11,7,19,12,22,9,South
South,4,9,True,True,True,True,9,3,11,7,19,12,22,9,South
South,4,8,True,True,True,True,9,3,11,7,19,12,22,9,South
South,4,7,True,True,True,True,9,3,11,7,19,12,22,9,South
South,4,6,True,True,True,True,9,3,11,7,19,12,22,9,South
South,4,5,True,True,True,True,9,3,11,7,19,12,22,9,South
South,4,4,True,True,True,True,9,3,11,7,19,12,22,9,East
East,5,4,True,True,True,True,9,3,11,7,19,12,22,9,East
East,6,4,True,True,True,True,9,3,11,7,19,12,22,9,East
East,7,4,True,True,True,True,9,3,11,7,19,12,22,9,South
South,7,3,True,True,True,True,9,3,11,7,19,12,22,9,East
East,8,3,True,True,True,True,9,3,11,7,19,12,22,9,East
East,9,3,False,True,True,True,1,1,11,7,19,12,22,9,East
East,10,3,False,True,True,True,1,1,11,7,19,12,22,9,East
East,11,3,False,True,True,True,1,1,11,7,19,12,22,9,North
North,11,4,False,True,True,True,1,1,11,7,19,12,22,9,North
North,11,5,False,True,True,True,1,1,11,7,19,12,22,9,North
North,11,6,False,True,True,True,1,1,11,7,19,12,22,9,North
North,11,7,False,False,True,True,1,1,3,1,19,12,22,9,East
East,12,7,False,False,True,True,1,1,3,1,19,12,22,9,East
East,13,7,False,False,True,True,1,1,3,1,19,12,22,9,East
East,14,7,False,False,True,True,1,1,3,1,19,12,22,9,East
East,15,7,False,False,True,True,1,1,3,1,19,12,22,9,East
East,16,7,False,False,True,True,1,1,3,1,19,12,22,9,East
East,17,7,False,False,True,True,1,1,3,1,19,12,22,9,East
East,18,7,False,False,True,True,1,1,3,1,19,12,22,9,East
East,19,7,False,False,True,True,1,1,3,1,19,12,22,9,East
East,20,7,False,False,True,True,1,1,3,1,19,12,22,9,East
East,21,7,False,False,True,True,1,1,3,1,19,12,22,9,East
East,22,7,False,False,True,True,1,1,3,1,19,12,22,9,North
North,22,8,False,False,True,True,1,1,3,1,19,12,22,9,North
North,22,9,False,False,True,False,1,1,3,1,19,12,7,1,North
North,22,10,False,False,True,False,1,1,3,1,19,12,7,1,North
North,22,11,False,False,True,False,1,1,3,1,19,12,7,1,North
North,22,12,False,False,True,False,1,1,3,1,19,12,7,1,West
West,21,12,False,False,True,False,1,1,3,1,19,12,7,1,West
West,20,12,False,False,True,False,1,1,3,1,19,12,7,1,West
Stop,14,1,True,True,True,True,10,13,13,13,14,13,17,13,Stop
Stop,14,1,True,True,True,True,10,13,13,13,14,13,17,13,West
West,13,1,True,True,True,True,10,13,13,13,14,13,17,13,West
West,12,1,True,True,True,True,10,13,13,13,14,13,17,13,North
North,12,2,True,True,True,True,10,13,13,13,14,13,17,13,North
North,12,3,True,True,True,True,10,13,13,13,14,13,17,13,West
West,11,3,True,True,True,True,10,13,13,13,14,13,17,13,West
West,10,3,True,True,True,True,10,13,13,13,14,13,17,13,West
West,9,3,True,True,True,True,10,13,13,13,14,13,17,13,North
North,9,4,True,True,True,True,10,13,13,13,14,13,17,13,North
North,9,5,True,True,True,True,10,13,13,13,14,13,17,13,North
North,9,6,True,True,True,True,10,13,13,13,14,13,17,13,East
East,10,6,True,True,True,True,10,13,13,13,14,13,17,13,East
East,11,6,True,True,True,True,10,13,13,13,14,13,17,13,East
East,12,6,True,True,True,True,10,13,13,13,14,13,17,13,North
North,12,7,True,True,True,True,10,13,13,13,14,13,17,13,North
North,12,8,True,True,True,True,10,13,13,13,14,13,17,13,North
North,12,9,True,True,True,True,10,13,13,13,14,13,17,13,West
West,11,9,True,True,True,True,10,13,13,13,14,13,17,13,West
West,10,9,True,True,True,True,10,13,13,13,14,13,17,13,West
West,9,9,True,True,True,True,10,13,13,13,14,13,17,13,West
West,8,9,True,True,True,True,10,13,13,13,14,13,17,13,North
North,8,10,True,True,True,True,10,13,13,13,14,13,17,13,North
North,8,11,True,True,True,True,10,13,13,13,14,13,17,13,North
North,8,12,True,True,True,True,10,13,13,13,14,13,17,13,North
North,8,13,True,True,True,True,10,13,13,13,14,13,17,13,North
North,8,14,True,True,True,True,10,13,13,13,14,13,17,13,North
North,8,15,True,True,True,True,10,13,13,13,14,13,17,13,East
East,9,15,True,True,True,True,10,13,13,13,14,13,17,13,East
East,10,15,True,True,True,True,10,13,13,13,14,13,17,13,East
East,11,15,True,True,True,True,10,13,13,13,14,13,17,13,East
East,12,15,True,True,True,True,10,13,13,13,14,13,17,13,East
East,13,15,True,True,True,True,10,13,13,13,14,13,17,13,South
South,13,14,True,True,True,True,10,13,13,13,14,13,17,13,South
South,13,13,True,False,True,True,10,13,3,1,14,13,17,13,West
West,12,13,True,False,True,True,10,13,3,1,14,13,17,13,West
West,11,13,True,False,True,True,10,13,3,1,14,13,17,13,West
West,10,13,False,False,True,True,1,1,3,1,14,13,17,13,East
East,11,13,False,False,True,True,1,1,3,1,14,13,17,13,East
East,12,13,False,False,True,True,1,1,3,1,14,13,17,13,East
East,13,13,False,False,True,True,1,1,3,1,14,13,17,13,East
East,14,13,False,False,False,True,1,1,3,1,5,1,17,13,East
East,15,13,False,False,False,True,1,1,3,1,5,1,17,13,East
East,16,13,False,False,False,True,1,1,3,1,5,1,17,13,East
Stop,12,10,True,True,True,True,5,6,5,12,13,6,13,12,Stop
Stop,12,10,True,True,True,True,5,7,5,11,13,6,13,12,North
North,12,11,True,True,True,True,5,8,5,12,12,6,14,12,North
North,12,12,True,True,True,True,5,8,6,12,12,6,13,12,East
East,13,12,True,True,True,True,4,8,6,11,12,7,13,11,South
South,13,11,True,True,True,False,4,9,6,11,12,8,7,1,South
South,13,10,True,True,True,False,3,9,6,11,11,8,7,1,South
South,13,9,True,True,True,False,3,8,7,11,11,7,7,1,South
South,13,8,True,True,True,False,2,8,6,11,11,6,7,1,West
West,12,8,True,True,True,False,2,9,7,11,11,5,7,1,West
West,11,8,True,True,True,False,2,9,7,11,10,5,7,1,South
South,11,7,True,True,True,False,3,9,7,10,10,6,7,1,South
South,11,6,True,True,False,False,2,9,7,9,5,1,7,1,West
West,10,6,True,True,False,False,3,9,6,9,5,1,7,1,West
West,9,6,True,True,False,False,3,9,6,10,5,1,7,1,West
West,8,6,True,True,False,False,3,9,6,9,5,1,7,1,West
West,7,6,True,True,False,False,3,9,7,9,5,1,7,1,West
West,6,6,True,True,False,False,4,9,7,9,5,1,7,1,North
North,6,7,True,True,False,False,3,9,8,9,5,1,7,1,North
North,6,8,True,True,False,False,2,9,7,9,5,1,7,1,West
West,5,8,True,True,False,False,1,9,7,8,5,1,7,1,West
West,4,8,True,True,False,False,1,8,7,7,5,1,7,1,West
West,3,8,True,True,False,False,1,9,6,7,5,1,7,1,North
North,3,9,True,True,False,False,1,9,6,7,5,1,7,1,West
West,2,9,False,True,False,False,1,1,7,7,5,1,7,1,West
West,1,9,False,True,False,False,1,1,8,7,5,1,7,1,South
South,1,8,False,True,False,False,1,1,7,7,5,1,7,1,East
East,2,8,False,True,False,False,1,1,6,7,5,1,7,1,East
East,3,8,False,True,False,False,1,1,5,7,5,1,7,1,East
East,4,8,False,True,False,False,1,1,4,7,5,1,7,1,East
East,5,8,False,True,False,False,1,1,5,7,5,1,7,1,South
Stop,11,10,True,True,True,True,5,5,7,10,21,9,25,14,Stop
Stop,11,10,True,True,True,True,6,5,6,10,21,10,25,14,West
West,10,10,True,True,True,True,5,5,5,10,21,9,25,14,West
West,9,10,True,True,True,True,5,5,5,9,22,9,25,15,West
West,8,10,True,True,True,True,6,5,4,9,22,10,25,14,West
West,7,10,True,True,True,True,6,6,5,9,22,10,24,14,West
West,6,10,True,True,True,True,6,7,5,9,23,10,24,13,South
South,6,9,True,True,True,True,6,8,4,9,22,10,25,13,South
South,6,8,False,True,True,True,1,1,4,9,22,11,25,13,West
West,5,8,False,True,True,True,1,1,5,9,22,10,24,13,North
North,5,9,False,False,True,True,1,1,3,1,22,11,25,13,West
West,4,9,False,False,True,True,1,1,3,1,23,11,25,14,East
East,5,9,False,False,True,True,1,1,3,1,22,11,25,15,East
East,6,9,False,False,True,True,1,1,3,1,22,10,24,15,East
East,7,9,False,False,True,True,1,1,3,1,22,11,23,15,East
East,8,9,False,False,True,True,1,1,3,1,22,12,23,14,East
East,9,9,False,False,True,True,1,1,3,1,23,12,23,15,East
East,10,9,False,False,True,True,1,1,3,1,22,12,22,15,East
East,11,9,False,False,True,True,1,1,3,1,22,13,22,14,East
East,12,9,False,False,True,True,1,1,3,1,21,13,23,14,East
East,13,9,False,False,True,True,1,1,3,1,21,12,22,14,East
East,14,9,False,False,True,True,1,1,3,1,22,12,23,14,East
East,15,9,False,False,True,True,1,1,3,1,22,13,23,14,East
East,16,9,False,False,True,True,1,1,3,1,23,13,22,14,East
East,17,9,False,False,True,True,1,1,3,1,24,13,23,14,North
North,17,10,False,False,True,True,1,1,3,1,24,14,23,14,North
North,17,11,False,False,True,True,1,1,3,1,25,14,23,13,North
North,17,12,False,False,True,True,1,1,3,1,25,13,23,14,North
North,17,13,False,False,True,True,1,1,3,1,25,14,23,13,East
East,18,13,False,False,True,True,1,1,3,1,25,15,23,14,East
East,19,13,False,False,True,True,1,1,3,1,25,15,23,15,East
East,20,13,False,False,True,True,1,1,3,1,24,15,24,15,East
East,21,13,False,False,True,True,1,1,3,1,24,14,23,15,East
East,22,13,False,False,True,True,1,1,3,1,24,13,23,14,North
North,22,14,False,False,True,True,1,1,3,1,24,12,23,14,East
East,23,14,False,False,True,True,1,1,3,1,24,13,24,14,East
East,24,14,False,False,True,False,1,1,3,1,24,13,25,14,South
Stop,1,3,True,True,True,True,1,10,2,8,2,9,3,7,Stop
Stop,1,3,True,True,True,True,1,9,2,7,1,9,3,7,North
North,1,4,True,True,True,True,1,9,2,6,1,9,2,7,North
North,1,5,True,True,True,True,1,10,2,7,1,9,2,8,East
East,2,5,True,True,True,True,1,9,2,8,1,10,2,7,North
North,2,6,True,True,True,True,2,9,2,9,1,9,3,7,North
North,2,7,True,True,True,True,2,9,2,10,1,10,3,8,East
East,3,7,True,True,True,True,3,9,2,10,1,9,3,8,North
North,3,8,True,True,True,False,4,9,2,9,1,10,7,1,North
North,3,9,True,True,True,False,4,8,2,8,1,9,7,1,West
West,2,9,True,False,True,False,4,9,3,1,1,9,7,1,West
West,1,9,True,False,False,False,5,9,3,1,5,1,7,1,South
South,1,8,True,False,False,False,4,9,3,1,5,1,7,1,East
East,2,8,True,False,False,False,3,9,3,1,5,1,7,1,East
East,3,8,True,False,False,False,2,9,3,1,5,1,7,1,North
Stop,4,12,True,True,True,True,9,3,11,7,19,12,22,9,Stop
Stop,4,12,True,True,True,True,10,3,11,8,19,12,22,9,Stop
Stop,4,12,True,True,True,True,9,3,10,8,19,12,22,8,West
West,3,12,True,True,True,True,10,3,10,9,19,12,21,8,West
West,2,12,True,True,True,True,10,4,10,10,19,11,21,8,East
South,2,11,True,True,True,True,10,5,10,9,19,11,20,8,East
East,3,11,True,True,True,True,10,4,10,9,19,11,19,8,East
East,4,11,True,True,True,True,10,4,9,9,20,11,20,8,East
East,5,11,True,True,True,True,10,4,9,10,20,12,20,9,East
East,6,11,True,True,True,True,10,4,9,11,20,12,21,9,East
East,7,11,True,True,True,True,9,4,9,10,19,12,20,9,East
East,8,11,True,True,True,True,9,5,9,11,20,12,21,9,South
South,8,10,True,True,True,True,10,5,10,11,21,12,21,10,East
East,9,10,True,True,True,True,10,6,10,12,20,12,21,9,North
North,9,11,True,True,True,True,10,6,10,11,20,12,21,8,East
East,10,11,True,False,True,True,10,6,3,1,19,12,21,9,South
South,10,10,True,False,True,True,11,6,3,1,20,12,21,9,South
South,10,9,True,False,True,True,10,6,3,1,21,12,21,9,South
South,10,8,True,False,True,True,10,5,3,1,21,12,21,9,South
South,10,7,True,False,True,True,11,5,3,1,22,12,21,9,South
South,10,6,True,False,True,True,12,5,3,1,22,11,21,8,East
South,10,5,True,False,True,True,11,5,3,1,23,11,21,9,East
East,11,5,False,False,True,True,1,1,3,1,23,11,22,9,East
East,12,5,False,False,True,True,1,1,3,1,22,11,22,8,East
East,13,5,False,False,True,True,1,1,3,1,22,10,23,8,East
East,14,5,False,False,True,True,1,1,3,1,22,11,23,9,East
East,15,5,False,False,True,True,1,1,3,1,22,12,23,10,East
East,16,5,False,False,True,True,1,1,3,1,22,11,23,10,East
East,17,5,False,False,True,True,1,1,3,1,23,11,23,10,East
East,18,5,False,False,True,True,1,1,3,1,23,12,23,11,East
East,19,5,False,False,True,True,1,1,3,1,22,12,23,12,East
East,20,5,False,False,True,True,1,1,3,1,21,12,23,11,East
East,21,5,False,False,True,True,1,1,3,1,20,12,23,11,East
East,22,5,False,False,True,True,1,1,3,1,20,11,23,11,East
East,23,5,False,False,True,True,1,1,3,1,19,11,23,10,North
North,23,6,False,False,True,True,1,1,3,1,20,11,23,11,North
North,23,7,False,False,True,True,1,1,3,1,20,10,23,12,North
North,23,8,False,False,True,True,1,1,3,1,20,10,22,12,North
North,23,9,False,False,True,True,1,1,3,1,20,9,21,12,North
North,23,10,False,False,True,True,1,1,3,1,21,9,22,12,West
West,22,10,False,False,True,True,1,1,3,1,22,9,22,11,West
West,21,10,False,False,True,True,1,1,3,1,22,8,21,11,South
South,21,9,False,False,True,True,1,1,3,1,22,7,22,11,East
East,22,9,False,False,True,True,1,1,3,1,22,6,22,10,South
South,22,8,False,False,True,True,1,1,3,1,22,5,23,10,South
South,22,7,False,False,True,True,1,1,3,1,22,6,22,10,South
South,22,6,False,False,False,True,1,1,3,1,5,1,22,10,North
North,22,7,False,False,False,True,1,1,3,1,5,1,23,10,North
North,22,8,False,False,False,True,1,1,3,1,5,1,22,10,North
North,22,9,False,False,False,True,1,1,3,1,5,1,23,10,North
North,22,10,False,False,False,True,1,1,3,1,5,1,23,11,East
North,22,11,False,False,False,True,1,1,3,1,5,1,23,10,North
North,22,12,False,False,False,True,1,1,3,1,5,1,23,10,East
East,23,12,False,False,False,True,1,1,3,1,5,1,22,10,South
South,23,11,False,False,False,True,1,1,3,1,5,1,21,10,West
West,22,11,False,False,False,True,1,1,3,1,5,1,20,10,West
West,21,11,False,False,False,True,1,1,3,1,5,1,21,10,South
Stop,14,1,True,True,True,True,10,13,13,13,14,13,17,13,Stop
Stop,14,1,True,True,True,True,11,13,13,14,15,13,17,13,West
West,13,1,True,True,True,True,10,13,13,13,15,13,17,13,West
West,12,1,True,True,True,True,10,13,12,13,15,13,16,13,North
North,12,2,True,True,True,True,11,13,13,13,15,13,17,13,North
North,12,3,True,True,True,True,11,13,13,14,14,13,17,13,West
West,11,3,True,True,True,True,10,13,13,15,14,14,17,13,West
West,10,3,True,True,True,True,11,13,14,15,14,15,17,13,West
West,9,3,True,True,True,True,11,13,14,15,15,15,16,13,North
North,9,4,True,True,True,True,11,13,13,15,15,15,16,13,North
North,9,5,True,True,True,True,10,13,14,15,14,15,17,13,North
North,9,6,True,True,True,True,10,13,15,15,15,15,17,13,East
East,10,6,True,True,True,True,10,13,15,16,15,16,17,13,East
East,11,6,True,True,True,True,10,13,15,15,15,15,17,13,East
East,12,6,True,True,True,True,10,13,15,15,16,15,16,13,North
North,12,7,True,True,True,True,10,13,16,15,17,15,16,13,North
North,12,8,True,True,True,True,10,13,17,15,18,15,17,13,North
North,12,9,True,True,True,True,10,13,18,15,17,15,17,13,West
West,11,9,True,True,True,True,10,13,19,15,17,15,17,13,West
West,10,9,True,True,True,True,10,13,18,15,17,15,17,13,West
West,9,9,True,True,True,True,10,13,18,15,18,15,16,13,West
West,8,9,True,True,True,True,11,13,17,15,17,15,15,13,North
North,8,10,True,True,True,True,11,13,16,15,16,15,14,13,North
North,8,11,True,True,True,True,10,13,15,15,16,15,15,13,North
North,8,12,True,True,True,True,11,13,15,16,15,15,16,13,North
North,8,13,True,True,True,True,11,13,15,17,15,15,15,13,North
North,8,14,True,True,True,True,12,13,15,18,15,15,16,13,North
North,8,15,True,True,True,True,13,13,16,18,14,15,15,13,East
East,9,15,True,True,True,True,13,14,17,18,14,15,14,13,East
East,10,15,True,True,True,True,13,14,17,18,13,15,15,13,East
East,11,15,True,True,True,True,13,15,18,18,14,15,14,13,East
East,12,15,True,True,True,True,13,15,18,18,14,15,14,14,East
East,13,15,False,True,False,True,1,2,17,18,5,1,14,14,South
South,13,14,False,True,False,False,1,3,18,18,6,1,7,1,North
North,13,15,False,True,False,False,2,3,17,18,6,1,7,1,East
East,14,15,False,True,False,False,1,3,16,18,6,1,6,1,East
East,15,15,False,True,False,False,1,2,17,18,6,1,6,1,North
North,15,16,False,True,False,False,1,1,16,18,6,1,7,1,North
North,15,17,False,True,False,False,2,1,17,18,6,1,6,1,North
North,15,18,False,True,False,False,1,1,18,18,5,1,7,1,East
East,16,18,False,True,False,False,1,2,18,19,6,1,8,1,East
East,17,18,False,True,False,False,1,1,18,20,5,1,9,1,East
East,18,18,False,True,False,False,1,2,18,21,5,1,9,1,North
North,18,19,False,True,False,False,1,3,17,21,6,1,10,1,North
North,18,20,False,True,False,False,2,3,17,21,5,1,11,1,North
North,18,21,False,True,False,False,3,3,16,21,4,1,11,1,West
West,17,21,False,True,False,False,4,3,16,21,4,1,10,1,West
Stop,12,10,True,True,True,True,5,6,5,12,13,6,13,12,Stop
Stop,12,10,True,True,True,True,5,5,5,11,13,7,13,12,North
North,12,11,True,True,True,True,4,5,5,11,13,8,13,13,North
North,12,12,True,True,True,True,3,5,5,12,14,8,14,13,North
North,12,13,True,True,True,True,3,4,5,11,14,9,14,13,East
East,13,13,True,True,True,True,3,4,6,11,14,8,14,12,East
East,14,13,True,True,True,True,2,4,6,11,15,8,13,12,South
South,14,12,True,True,True,False,1,4,6,10,14,8,7,1,South
South,14,11,True,True,True,False,1,3,6,9,13,8,7,1,South
South,14,10,True,True,True,False,1,4,6,9,12,8,7,1,South
South,14,9,True,True,True,False,1,3,7,9,12,7,7,1,South
South,14,8,True,True,True,False,1,4,7,10,12,6,7,1,West
West,13,8,True,True,True,False,1,3,7,10,12,6,7,1,South
South,13,7,True,True,True,False,2,3,6,10,12,5,7,1,South
South,13,6,True,True,True,False,3,3,7,10,13,5,7,1,West
West,12,6,True,True,True,False,2,3,8,10,12,5,7,1,South
South,12,5,True,True,False,False,1,3,8,10,5,1,7,1,East
East,13,5,True,True,False,False,1,3,8,11,5,1,7,1,West
West,12,5,True,True,False,False,1,4,7,11,5,1,7,1,West
West,11,5,True,True,False,False,2,4,7,12,5,1,7,1,West
West,10,5,True,True,False,False,2,4,6,12,5,1,7,1,West
West,9,5,True,True,False,False,1,4,7,12,5,1,7,1,West
West,8,5,True,True,False,False,1,4,8,12,5,1,7,1,West
West,7,5,True,True,False,False,1,5,8,13,5,1,7,1,West
West,6,5,True,True,False,False,1,6,9,13,5,1,7,1,West
West,5,5,True,True,False,False,1,7,9,14,5,1,7,1,West
West,4,5,True,True,False,False,1,8,9,13,5,1,7,1,West
West,3,5,True,True,False,False,1,8,10,13,5,1,7,1,West
West,2,5,True,True,False,False,1,8,10,12,5,1,7,1,West
West,1,5,True,True,False,False,1,8,10,12,5,1,7,1,North
North,1,6,True,True,False,False,1,9,10,13,5,1,7,1,North
North,1,7,True,True,False,False,1,8,9,13,5,1,7,1,North
North,1,8,False,True,False,False,1,1,9,13,5,1,7,1,East
East,2,8,False,True,False,False,1,1,8,13,5,1,7,1,East
East,3,8,False,True,False,False,1,1,8,14,5,1,7,1,East
East,4,8,False,True,False,False,1,1,8,13,5,1,7,1,East
East,5,8,False,True,False,False,1,1,7,13,5,1,7,1,East
East,6,8,False,True,False,False,1,1,7,12,5,1,7,1,North
North,6,9,False,True,False,False,1,1,7,13,5,1,7,1,North
North,6,10,False,True,False,False,1,1,8,13,5,1,7,1,North
North,6,11,False,True,False,False,1,1,8,13,5,1,7,1,North
North,6,12,False,True,False,False,1,1,8,12,5,1,7,1,East
North,6,13,False,True,False,False,1,1,7,12,5,1,7,1,East
East,7,13,False,True,False,False,1,1,7,12,5,1,7,1,South
Stop,11,10,True,True,True,True,5,5,7,10,21,9,25,14,Stop
Stop,11,10,True,True,True,True,4,5,7,9,21,9,25,14,North
North,11,11,True,True,True,True,4,4,8,9,20,9,25,15,West
West,10,11,True,True,True,True,4,3,8,8,19,9,25,14,West
West,9,11,True,True,True,True,4,3,8,7,18,9,25,14,South
South,9,10,True,True,True,True,3,3,8,8,18,10,25,13,South
South,9,9,True,True,True,True,4,3,8,7,18,10,25,12,West
South,9,8,True,True,True,True,3,3,9,7,18,9,24,12,South
South,9,7,True,False,True,True,2,3,3,1,18,8,24,13,South
South,9,6,True,False,True,True,2,3,3,1,18,8,24,12,West
West,8,6,True,False,True,True,1,3,3,1,18,9,24,12,South
South,8,5,True,False,True,True,1,3,3,1,17,9,24,13,South
South,8,4,True,False,True,True,1,3,3,1,17,9,24,14,West
